Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	GDP	GDP	DFU	DFU	DRP	DRP	DG	DG	SSW	SSW	WGnD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																												
189	Rastatt	BW	162062	135340	7257	10251	128083	125089	32698	32075	73962	71996	0	0	15989	15302	2002	2136	2209	2308	972	1025	251	247	0	0	0	0
190	Reutlingen	BW	185755	156090	3795	5510	152295	150580	56248	53310	56862	56238	0	0	31958	32888	3097	3475	3058	3449	866	1006	206	214	0	0	0	0
191	Calw	BW	146991	116866	4813	6524	112053	110342	38183	37210	40615	40187	0	0	28018	27483	2200	2003	2104	2297	933	1083	0	79	0	0	0	0
192	Rottweil	BW	138182	120271	4127	5552	116144	114719	34523	34682	57584	56438	0	0	18609	17805	2179	2309	2031	2147	1218	1282	0	56	0	0	0	0
193	Balingen	BW	159142	134567	4402	6057	130165	128510	33415	32941	69778	68025	0	0	21522	21881	2925	3036	1568	1730	957	827	0	70	0	0	0	0
194	Biberach	BW	134248	122479	3709	4602	118770	117877	16775	16591	89463	88889	0	0	9700	9441	1767	1782	916	930	0	175	149	69	0	0	0	0
195	Ravensburg	BW	160126	144055	3939	5607	140116	138448	27484	27122	93559	92321	0	0	14838	14605	1885	1959	1455	1510	538	570	357	361	0	0	0	0
908	Baden-Württemberg	BW	5211883	4419748	145850	230585	4273898	4189163	1385442	1342885	1955620	1899266	0	0	697279	697311	111704	116611	90287	95137	27455	31052	6111	6901	0	0	0	0
																												
196	Altötting	BY	125746	113678	2559	4494	111119	109184	25653	24987	0	0	71609	70126	4696	5164	7713	7400	983	990	465	462	0	55	0	0	0	0
197	Fürstenfeldbruck	BY	140062	122783	2995	4736	119788	118047	36266	35718	0	0	67346	65026	7646	8431	6055	6210	1667	1739	808	823	0	100	0	0	0	0
198	Ingolstadt	BY	148786	131148	3575	5031	127573	126117	32351	31194	0	0	84211	82490	3963	4792	5987	6200	1061	1106	0	263	0	72	0	0	0	0
199	Miesbach	BY	129435	110753	2092	4102	108661	106651	32170	31612	0	0	56296	53636	10847	12232	5919	5828	2289	2272	726	752	414	319	0	0	0	0
200	München-Nord	BY	218595	171535	2662	4272	168873	167263	66519	66700	0	0	71645	69604	18550	19814	4078	4148	5425	5785	1011	1105	0	107	0	0	0	1645
201	München-Ost	BY	206720	164388	2945	4151	161443	160237	69604	69306	0	0	64798	63241	17140	17418	3362	3419	5414	5668	1125	1052	0	133	0	0	0	0
202	München-Süd	BY	188869	148438	2559	3808	145879	144630	60719	59918	0	0	61362	59576	14321	15992	3078	2875	5328	5089	1071	1044	0	136	0	0	0	0
