Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	SPD	SPD	CSU	CSU	FDP	FDP	GB/BHE	GB/BHE	DP	DP	DRP	DRP	FU	FU	BdD	BdD	Mittelstand	Mittelstand	DG	DG	SSW	SSW	VU	VU	PdgD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																				
135	Obertaunuskreis	HE	125481	112800	3689	5693	109111	107107	50197	45169	38308	36988	0	0	7571	8843	7172	7737	4106	6133	1757	2049	0	0	0	188	0	0	0	0	0	0	0	0	0	0
136	Friedberg	HE	154925	138147	4818	6566	133329	131581	47765	45724	54785	53452	0	0	8084	7990	9446	9924	10743	11660	2506	2641	0	0	0	190	0	0	0	0	0	0	0	0	0	0
137	Limburg	HE	131743	120298	3785	5776	116513	114522	67839	65797	28757	28152	0	0	7740	7652	7521	8003	2992	3264	1340	1328	0	0	324	326	0	0	0	0	0	0	0	0	0	0
138	Wiesbaden	HE	181174	154941	3954	7681	150987	147260	65702	67353	51950	50388	0	0	24075	18503	4749	5181	2583	3633	1549	1788	0	0	379	414	0	0	0	0	0	0	0	0	0	0
139	Hanau	HE	144936	132230	5517	7731	126713	124499	50561	49493	55106	53180	0	0	8179	8185	7670	7860	2967	3193	2230	2375	0	0	0	213	0	0	0	0	0	0	0	0	0	0
140	Frankfurt/M I	HE	147260	125334	2964	5391	122370	119943	52039	50351	50593	49137	0	0	11236	11174	3773	3985	2989	3456	1204	1273	0	0	536	567	0	0	0	0	0	0	0	0	0	0
141	Frankfurt/M II	HE	179624	151009	3414	5378	147595	145631	67433	61371	58486	57006	0	0	14492	15703	4296	4449	0	4362	2052	1908	0	0	836	832	0	0	0	0	0	0	0	0	0	0
142	Frankfurt/M III	HE	155746	132196	2632	4740	129564	127456	54314	51904	53824	52602	0	0	11986	12629	3256	3468	4056	4656	1495	1545	0	0	633	652	0	0	0	0	0	0	0	0	0	0
143	Groß-Gerau	HE	180393	164598	6433	10066	158165	154532	66850	64859	67975	65479	0	0	9323	9153	8664	8913	3817	4336	1536	1527	0	0	0	265	0	0	0	0	0	0	0	0	0	0
144	Offenbach/M	HE	190728	173042	5741	8653	167301	164389	71810	70264	71784	69845	0	0	9119	9411	5903	6194	7913	7579	772	826	0	0	0	270	0	0	0	0	0	0	0	0	0	0
145	Darmstadt	HE	151069	135710	4643	7352	131067	128358	51317	50018	56297	53396	0	0	14963	14981	3950	4334	3127	4018	994	1125	0	0	419	486	0	0	0	0	0	0	0	0	0	0
