Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	DFU	DFU	AUD	AUD	CVP	CVP	FSU	FSU	UAP	UAP	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen
																														
49	Göttingen	NI	158465	141160	3673	2349	137487	138811	56139	55876	64586	60722	0	0	13135	17787	2385	2881	938	1214	304	267	0	0	0	64	0	0	0	0
903	Niedersachsen	NI	4748325	4145849	109610	93108	4036239	4052741	1633758	1614540	1919789	1855124	0	0	360034	440860	89798	102470	28211	31653	3496	5460	0	0	1153	2634	0	0	0	0
																														
50	Bremen-Ost	HB	180729	158117	3490	2830	154627	155287	68273	67293	58054	55923	0	0	20560	22916	4022	4523	3338	3835	380	358	0	0	0	0	0	0	439	0
51	Bremen-West	HB	168990	145147	3953	2813	141194	142334	75812	74699	42817	42443	0	0	13984	15500	3417	3722	4931	5422	233	247	0	0	0	0	0	0	301	0
52	Bremerhaven – Bremen-Nord	HB	176011	149535	4237	2939	145298	146596	74543	73495	53017	52523	0	0	11448	13478	3708	3873	2582	2858	0	94	0	0	0	0	0	0	275	0
904	Bremen	HB	525730	452799	11680	8582	441119	444217	218628	215487	153888	150889	0	0	45992	51894	11147	12118	10851	12115	613	699	0	0	0	0	0	0	1015	0
																														
53	Aachen-Stadt	NW	119012	101493	2661	1591	98832	99902	36482	36421	53148	52748	0	0	6821	8062	1059	1174	1111	1232	211	136	0	58	0	37	0	34	0	0
54	Aachen-Land	NW	179661	162418	4057	3102	158361	159316	63601	62992	84313	83870	0	0	7395	9043	940	1009	1900	2031	212	176	0	71	0	53	0	71	0	0
55	Geilenkirchen – Heinsberg	NW	188299	172678	6423	4342	166255	168336	51519	51416	104902	104870	0	0	8258	10096	705	756	871	832	0	110	0	110	0	42	0	104	0	0
56	Düren	NW	163852	146576	4352	3560	142224	143016	40300	39437	92078	91625	0	0	7903	9768	735	762	952	963	256	191	0	127	0	62	0	81	0	0
57	Bergheim	NW	146822	131589	3900	3117	127689	128472	47649	46701	71568	71322	0	0	6780	8480	774	857	714	790	204	169	0	61	0	29	0	63	0	0
58	Köln-Land	NW	148791	131712	2760	2572	128952	129140	50533	49538	66972	66217	0	0	9000	10483	1060	1181	1387	1503	0	81	0	52	0	37	0	48	0	0
59	Köln I	NW	153860	121583	3269	1788	118314	119795	54461	53309	53135	52949	0	0	7249	9558	1479	1688	1871	2069	119	115	0	39	0	35	0	33	0	0
60	Köln II	NW	142873	115519	3924	1449	111595	114070	43778	43145	55809	55766	0	0	8776	11553	1272	1469	1713	1886	0	87	0	53	0	53	247	58	0	0
61	Köln III	NW	149658	122206	2658	2362	119548	119844	52132	50633	57920	57206	0	0	6489	8506	1190	1366	1752	1872	0	52	0	69	0	71	65	69	0	0
62	Köln IV	NW	147316	121796	3081	2016	118715	119780	56444	55075	52986	52698	0	0	6154	8260	1153	1300	1883	2177	0	83	0	52	0	47	95	88	0	0
63	Bonn	NW	177174	151811	2564	2190	149247	149621	43750	44234	88923	83882	0	0	12798	16864	2441	2996	1094	1231	241	209	0	120	0	36	0	49	0	0
64	Siegkreis I – Bonn-Land	NW	163382	143757	3620	2601	140137	141156	42822	42097	86648	84949	0	0	8414	11247	1385	1584	868	970	0	86	0	105	0	44	0	74	0	0
65	Oberbergischer Kreis – Siegkreis II	NW	181088	158547	4926	2880	153621	155667	55175	55377	79772	79459	0	0	14939	16096	2168	2427	1363	1636	204	174	0	385	0	51	0	62	0	0
66	Rheinisch-Bergischer Kreis	NW	157526	139206	3505	2292	135701	136914	45157	45967	76780	75087	0	0	10472	11943	1541	1807	1346	1482	405	408	0	75	0	79	0	66	0	0
67	Leverkusen – Opladen	NW	162433	141193	3047	2319	138146	138874	61783	59256	61541	61915	0	0	11679	13752	1181	1436	1821	2172	141	148	0	57	0	86	0	52	0	0
68	Remscheid	NW	139741	119730	4094	1607	115636	118123	49586	49182	51804	50894	0	0	9812	12819	850	1093	2975	3465	299	269	0	47	310	321	0	33	0	0
69	Wuppertal I	NW	154056	129297	1852	1810	127445	127487	57670	56093	55734	52772	0	0	10292	14133	1243	1487	2093	2448	177	169	0	85	236	265	0	35	0	0
70	Wuppertal II	NW	154759	130337	2612	1635	127725	128702	57791	57215	55403	53179	0	0	10637	13737	964	1154	2359	2761	251	215	0	85	320	331	0	25	0	0
71	Solingen	NW	127729	110213	2255	1820	107958	108393	48668	48004	44466	42112	0	0	9170	11863	924	1118	4338	4827	94	83	0	46	298	306	0	34	0	0
72	Düsseldorf – Mettmann I	NW	115358	101278	2495	1216	98783	100062	43961	43873	45831	44009	0	0	6456	9069	988	1134	1425	1634	122	130	0	68	0	111	0	34	0	0
73	Düsseldorf – Mettmann II	NW	121644	106780	2677	1366	104103	105414	45514	45727	50543	46179	0	0	6442	9812	1178	1431	0	1750	217	193	0	74	209	212	0	36	0	0
74	Düsseldorf I	NW	157124	134913	2031	1970	132882	132943	49558	49572	67103	63028	0	0	12068	15191	2274	2607	1879	2197	0	79	0	174	0	57	0	38	0	0
75	Düsseldorf II	NW	163540	137837	2744	2057	135093	135780	65642	64947	57112	55540	0	0	7914	9746	1678	1930	2747	3199	0	84	0	240	0	43	0	51	0	0
76	Düsseldorf III	NW	169862	144337	2535	2359	141802	141978	60282	59664	66706	65424	0	0	10930	11949	1856	2185	2028	2386	0	86	0	190	0	56	0	38	0	0
77	Neuß – Grevenbroich I	NW	141797	124649	2755	2475	121894	122174	40277	39740	71669	70220	0	0	7702	9310	1205	1409	1041	1120	0	56	0	230	0	44	0	45	0	0
