Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	BUERGERP	BUERGERP	C.B.V.	C.B.V.	DKP	DKP	GRUENE	GRUENE	E A P	E A P	K B W	K B W	NPD	NPD	V	V	D F P	D U	U A P	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																				
36	STADT HANNOVER I	NI	191218	169497	1703	1175	167794	168322	90120	86785	58711	57283	0	0	13728	20565	0	0	0	0	548	410	4512	2927	78	44	97	64	0	220	0	24	0	0	0	0
37	STADT HANNOVER II	NI	195854	173952	1683	1212	172269	172740	91734	89006	60376	58503	0	0	15033	21282	0	0	0	0	669	548	4304	3055	51	41	102	65	0	209	0	31	0	0	0	0
38	HANNOVER-LAND I	NI	209008	188078	2459	1489	185619	186589	92813	89081	74622	70452	0	0	14727	23857	0	0	0	0	301	218	3105	2682	0	21	51	18	0	244	0	16	0	0	0	0
39	CELLE - UELZEN	NI	198170	177171	1891	1309	175280	175862	76169	72752	82266	79337	0	0	12776	20263	0	0	0	0	330	223	3679	2771	0	26	60	45	0	404	0	41	0	0	0	0
40	GIFHORN - PEINE	NI	182053	164971	1442	1199	163529	163772	79669	77456	70781	67975	0	0	9873	15561	0	0	0	0	218	184	2832	2230	76	59	80	44	0	239	0	24	0	0	0	0
41	HAMELN - HOLZMINDEN	NI	194796	178004	1593	1259	176411	176745	91892	90266	67583	65485	0	0	12780	17891	0	0	0	0	217	155	3807	2609	29	34	103	48	0	236	0	21	0	0	0	0
42	HANNOVER-LAND II	NI	192681	176330	2153	1350	174177	174980	88499	86566	65949	63467	0	0	15486	22029	0	0	0	0	251	181	3953	2518	0	15	39	15	0	171	0	18	0	0	0	0
43	HILDESHEIM	NI	211507	193555	1476	1304	192079	192251	102606	98265	75305	72786	0	0	9940	17902	0	0	0	0	259	191	3873	2789	0	22	96	53	0	202	0	41	0	0	0	0
44	SALZGITTER - WOLFENBUETTEL	NI	176413	159326	1435	1105	157891	158221	85611	82606	61048	58630	0	0	8265	14551	0	0	0	0	264	194	2652	1896	0	22	51	36	0	265	0	21	0	0	0	0
45	BRAUNSCHWEIG	NI	200255	175666	1549	976	174117	174690	89645	86852	65777	62396	0	0	13835	21949	0	0	0	0	495	368	4002	2713	55	44	133	91	0	264	0	13	0	0	0	175
46	HELMSTEDT - WOLFSBURG	NI	170209	152000	1573	1055	150427	150945	72454	69946	66097	63876	0	0	9137	14594	0	0	0	0	216	179	2455	1936	0	24	68	47	0	325	0	18	0	0	0	0
47	GOSLAR	NI	150879	136100	1371	954	134729	135146	68707	66404	54976	53254	0	0	8532	13569	0	0	0	0	260	178	2180	1470	0	15	74	53	0	189	0	14	0	0	0	0
48	NORTHEIM - OSTERODE	NI	169014	154080	1495	1227	152585	152853	82523	79662	57523	56037	0	0	9100	14510	0	0	0	0	232	175	3156	2194	0	22	51	19	0	213	0	21	0	0	0	0
49	GOETTINGEN	NI	178947	160906	1303	916	159603	159990	76492	73912	65184	63136	0	0	12246	18726	0	0	0	0	511	285	5034	3578	0	18	136	111	0	199	0	25	0	0	0	0
903	NIEDERSACHSEN	NI	5363576	4790833	47636	35691	4743197	4755142	2313239	2232531	1968623	1891813	0	0	345591	535914	0	0	0	0	10636	7020	101049	77475	364	803	2648	1486	0	7107	558	993	0	0	0	489
																																				
50	BREMEN-OST	HB	199374	177849	1640	1359	176209	176490	85522	81972	59180	55993	0	0	22861	31261	0	200	0	0	1186	956	6948	5480	86	53	239	183	0	293	187	99	0	0	0	0
51	BREMEN-WEST	HB	144431	126331	1316	1080	125015	125251	73071	71031	33034	31704	0	0	13487	17897	0	97	0	0	1077	899	3909	3010	68	55	154	136	0	261	215	161	0	0	0	0
52	BREMERHAVEN - BREMEN-NORD	HB	179356	155028	1542	1313	153486	153715	86481	85909	45460	43320	0	0	15462	19562	0	126	0	0	684	429	5060	3810	82	63	114	87	0	319	143	90	0	0	0	0
904	BREMEN	HB	523161	459208	4498	3752	454710	455456	245074	238912	137674	131017	0	0	51810	68720	0	423	0	0	2947	2284	15917	12300	236	171	507	406	0	873	545	350	0	0	0	0
																																				
