Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	DKP	DKP	EFP	EFP	FSU	FSU	NPD	NPD	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																									
904	Bremen	HB	540928	492431	4861	3546	487570	488885	301190	284028	145418	144471	0	0	34786	54428	3863	3335	0	318	0	0	2313	2305	0
																									
53	Aachen-Stadt	NW	160603	144858	1726	955	143132	143903	67689	63501	67334	66960	0	0	7068	12469	531	361	0	66	0	21	510	525	0
54	Aachen-Land	NW	199614	184543	2156	1440	182387	183103	93929	92930	80917	79925	0	0	6203	8868	754	579	0	83	0	36	584	682	0
55	Heinsberg	NW	143173	132887	1893	1283	130994	131604	47488	47781	78455	77158	0	0	4293	5773	318	257	0	73	0	32	440	530	0
56	Düren	NW	160466	147833	1972	1224	145861	146609	65064	63997	74727	73914	0	0	5144	7899	592	341	0	76	0	29	334	353	0
57	Bergheim	NW	223466	205684	2923	1557	202761	204127	92801	90867	98910	98265	0	0	9773	13773	649	460	0	88	0	38	628	636	0
58	Köln-Land	NW	182624	169664	1958	1065	167706	168599	89267	82409	68600	67107	0	0	9241	18157	598	451	0	77	0	24	0	374	0
59	Köln I	NW	136076	119888	1514	877	118374	119011	69288	64230	41176	40448	0	0	6717	13227	642	555	90	73	0	23	461	455	0
60	Köln II	NW	129552	116437	1098	630	115339	115807	63114	54134	45364	45472	0	0	5978	15384	465	408	72	50	29	28	317	331	0
61	Köln III	NW	156335	140742	1714	981	139028	139761	82146	75618	48284	48438	0	0	7403	14617	553	514	116	88	55	22	471	464	0
62	Köln IV	NW	152431	137014	1409	865	135605	136149	81632	75961	45841	45174	0	0	7021	14046	555	450	153	113	0	27	403	378	0
63	Bonn	NW	209315	190137	2079	1068	188058	189069	74786	67046	97388	97901	0	0	13963	22709	751	543	481	286	0	20	689	564	0
64	Rhein-Sieg-Kreis I	NW	182685	168113	1626	1093	166487	167020	70539	64110	87626	86731	0	0	7228	15176	426	346	212	159	0	15	456	483	0
65	Oberbergischer Kreis – Rhein-Sieg-Kreis II	NW	202874	185467	1894	1189	183573	184278	84133	83677	87606	82505	0	0	10621	16719	577	375	0	108	0	32	636	862	0
66	Rheinisch-Bergischer Kreis	NW	190927	177259	1996	1105	175263	176154	84864	77428	79682	78753	0	0	9592	18758	536	418	0	87	0	28	589	682	0
67	Leverkusen – Opladen	NW	192518	177482	2093	1024	175389	176458	100417	91100	65529	65901	0	0	8199	18181	654	539	0	83	0	46	590	608	0
68	Remscheid	NW	142482	129477	1422	755	128055	128722	66488	62269	53650	52783	0	0	6800	12353	627	642	0	56	0	90	490	529	0
69	Wuppertal I	NW	147658	135032	1102	625	133930	134407	67288	67834	49382	50940	0	0	16049	14408	768	606	0	81	0	38	443	500	0
70	Wuppertal II	NW	148490	135707	1163	706	134544	135001	73747	69929	49672	49835	0	0	9849	13938	865	698	0	68	0	69	411	464	0
71	Solingen	NW	124255	113527	1268	895	112259	112632	58656	56569	42696	42360	0	0	9721	12304	1186	938	0	66	0	89	0	306	0
72	Düsseldorf – Mettmann I	NW	134487	124830	1052	687	123778	124143	66176	61047	50891	49554	0	0	5813	12578	468	410	0	57	0	42	430	455	0
