Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	GRÜNE	GRÜNE	FDP	FDP	DIE LINKE	DIE LINKE	Offensive D	Offensive D	REP	REP	NPD	NPD	Die Tierschutzpartei	Die Tierschutzpartei	GRAUE	GRAUE	PBC	PBC	DIE FRAUEN	DIE FRAUEN	FAMILIE	FAMILIE	BüSo	BüSo	BP	BP	ZENTRUM	ZENTRUM	Deutschland	Deutschland	AGFG	AGFG	APPD	APPD	50Plus	50Plus	MLPD	MLPD	Die PARTEI	Die PARTEI	PSG	PSG	Pro DM	Pro DM	CM	CM	DSU	DSU	HP	HP	HUMANWIRTSCHAFTS- PARTEI	HUMANWIRTSCHAFTS- PARTEI	STATT Partei	STATT Partei	UNABHÄNGIGE	UNABHÄNGIGE	Übrige	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen
																																																																								
1	Flensburg - Schleswig	1	220967	171827	2674	2596	169153	169231	74802	66099	74480	61535			7068	13597	5347	16397	6150	8120					1306	1359										2025																99																				
2	Nordfriesland - Dithmarschen Nord	1	184580	143778	2280	2058	141498	141720	56380	51307	67786	59034			5670	8854	5907	14270	4542	5475					1213	1190										1508																82																				
3	Steinburg - Dithmarschen Süd	1	177200	139014	2098	2108	136916	136906	56428	49715	61471	53340			4480	8979	6024	14701	4899	6288					1471	1665									2143	2129																89																				
4	Rendsburg-Eckernförde	1	197355	158841	2187	2062	156654	156779	68480	59001	69082	59743			6164	12613	5607	15507	5106	6522					1454	1457										1835																101																			761	
5	Kiel	1	194234	151040	2250	2048	148790	148992	75473	61777	50437	42945			9196	18995	4509	13190	6103	8899					1313	1377									1759	1657																152																				
6	Plön - Neumünster	1	174075	136982	2560	2100	134422	134882	63207	53258	57110	48910			5166	10345	4798	12945		6009					1800	1526									2341	1778																111																				
7	Pinneberg	1	227185	185609	2646	2287	182963	183322	78236	68570	80935	67534			9118	16610	6743	18796	6142	8043					1789	1770										1906																93																				
8	Segeberg - Stormarn-Nord	1	233522	188632	2179	2107	186453	186525	79520	68214	81812	68553			7522	16110	7530	21167	5971	8166					1550	1707									2548	2517																91																				
9	Ostholstein	1	177834	140965	1930	1842	139035	139123	61947	53947	60608	52564			3798	9353	5402	14442	4363	5794					1201	1350									1716	1608																65																				
10	Herzogtum Lauenburg - Stormarn-Süd	1	232711	190357	3409	2458	186948	187899	82387	67206	83029	69894			9499	17328	8955	21046		8203					3078	2308										1808																106																				
11	Lübeck	1	179114	132068	2286	2338	129782	129730	64442	56267	46254	40458			5664	11928	4493	10859	5358	7236					1322	1352									2249	1488																142																				
901	Schleswig-Holstein	99	2198777	1739113	26499	24004	1712614	1715109	761302	655361	733004	624510			73345	144712	65315	173320	48634	78755					17497	17061									12756	20259																1131																			761	
																																																																								
12	Wismar - Nordwestmecklenburg - Parchim	13	219787	156558	2989	2769	153569	153789	57998	54101	44656	43197			4322	6446	7999	9610	33509	33906					5085	4829				893		403																				404																				
13	Schwerin - Ludwigslust	13	185092	134742	2596	2332	132146	132410	54180	49324	35360	34064			3466	6102	5158	7781	28167	28978					4509	4431				966		406																				358																			1306	
14	Rostock	13	193869	139568	2562	1978	137006	137590	51623	53531	35053	31419			12917	7483	5656	7436	30578	32859						2768				1205		313																			1179	576																				
15	Stralsund - Nordvorpommern - Rügen	13	203689	141356	3056	3159	138300	138197	35028	35478	57131	47783			2734	4404	4078	10351	32850	33294					4787	5033				1016		384																				454																			1692	
16	Greifswald - Demmin - Ostvorpommern	13	208610	145628	3111	2979	142517	142649	36308	35419	53000	50875			3855	4718	7946	9502	34543	33863					6865	6459				995		417																				401																				
17	Bad Doberan - Güstrow - Müritz	13	215271	154726	3268	2954	151458	151772	50836	48027	48653	46295			4252	5989	5820	9470	34824	35020					5261	5071				835	740	658																				407																			1072	
18	Neubrandenburg - Mecklenburg-Strelitz - Uecker-Randow	13	192472	138309	3124	2997	135185	135312	40157	38950	42316	39683			3358	4237	6183	7899	36734	36782					6437	6156				856		400																				349																				
913	Mecklenburg-Vorpommern	99	1418790	1010887	20706	19168	990181	991719	326130	314830	316169	293316			34904	39379	42840	62049	231205	234702					32944	34747				6766	740	2981																			1179	2949																			4070	
																																																																								
19	Hamburg-Mitte	2	245210	179752	2588	2386	177164	177366	87748	74573	48762	42351			20230	27703	6407	13806	10869	13967					2433	2201		1540																				381				117		727																	715	
20	Hamburg-Altona	2	170950	136372	1552	1335	134820	135037	61936	47600	45468	38333			15507	25387	4444	12185	6492	8914					973	951		853																				269				86		459																		
21	Hamburg-Eimsbüttel	2	181988	147354	1725	1337	145629	146017	65610	54488	49039	40058			18249	26223	5297	13841	6366	8977					1068	910		936																				165				54		365																		
22	Hamburg-Nord	2	203063	168352	1581	1359	166771	166993	72148	58596	65788	53812			16177	26143	6003	18089	5602	7951					1053	979		945																				161				46		271																		
23	Hamburg-Wandsbek	2	214063	163239	2053	1896	161186	161343	79926	65105	57577	49305			8237	18519	5648	14572	7542	9827					2256	2171		1350																				156				53		285																		
24	Hamburg-Bergedorf - Harburg	2	215443	159084	2428	2476	156656	156608	79967	65184	53810	48559			7330	16776	5105	12100	7632	9827					2352	2251		1240			460																	187				85		399																		
902	Hamburg	99	1230717	954153	11927	10789	942226	943364	447335	365546	320444	272418			85730	140751	32904	84593	44503	59463					10135	9463		6864			460																	1319				441		2506																	715	
																																																																								
25	Aurich - Emden	3	187031	144499	2689	2273	141810	142226	82618	79448	38467	35368			8748	8868	4441	8800	5516	6357					1660	1606		815		405		270						62														80						147													360	
26	Unterems	3	227506	177726	2413	2295	175313	175431	69621	72167	82559	71136			6246	7242	8246	13634	5742	7137					1920	1915		893		376	979	724						59														33						115														
27	Friesland - Wilhelmshaven	3	190965	146571	2938	2589	143633	143982	72454	67133	48472	43900			5480	8409	7187	12846	6004	6962					2413	2146		1052		977		160						92														163						142													1623	
28	Oldenburg - Ammerland	3	210068	166206	2219	1841	163987	164365	73355	72316	58364	46510			16369	18185	6341	15308	7963	8583					1595	1592		915		487		186						62														81						140														
29	Delmenhorst - Wesermarsch - Oldenburg-Land	3	224736	175320	2882	2912	172438	172408	86321	79652	59327	49561			8209	12405	8741	17836	6856	8398					2123	2142		1099		795		206						74														74						166													861	
30	Cuxhaven - Osterholz	3	210025	166947	2212	2026	164735	164921	82037	73021	58579	50873			7454	13070	6629	14721	7653	8501					2383	2214		1107		816		297						104														55						142														
31	Stade - Cuxhaven	3	189309	149433	2276	1716	147157	147717	70727	61849	62515	52418			5476	10086	5514	13466		5841					2925	2164		921		590		149						58														50						125														
32	Mittelems	3	222778	179716	1981	1926	177735	177790	61236	60408	98882	86520			5848	8212	6167	15042	4315	4897					1287	1237		761		319		185						58														30						121														
33	Cloppenburg - Vechta	3	206345	160307	2376	1978	157931	158329	41988	40084	101777	90513			3723	5227	6177	16071	3018	3602					1248	1219		613		304		507						50														35						104														
34	Diepholz - Nienburg I	3	192368	152034	1664	1456	150370	150578	68750	62773	58684	50311			8329	11070	7454	16092	5418	6577					1735	1782		870		545		315						75														56						112														
35	Rotenburg - Verden	3	228603	181702	2052	1791	179650	179911	79391	72932	72313	63353			10172	14035	9027	16932	5714	7347					3033	2788		1074		532		614						96														50						158														
36	Soltau-Fallingbostel - Winsen L.	3	249536	203505	2711	2262	200794	201243	88818	78893	84804	71525			8262	16088	8304	21287	6779	7809					2770	2591		1333		703	1057	662						94														59						199														
37	Lüchow-Dannenberg - Lüneburg	3	220920	175719	2393	2022	173326	173697	75927	67091	66388	56575			13172	18985	7162	16812	8209	9519					2468	2312		1054		714		339						81														67						148														
38	Osnabrück-Land	3	194638	154657	1896	1673	152761	152984	61900	57200	71536	62100			6884	10143	6635	15371	4274	5039					1532	1482		691		319		466						53														21						99														
39	Stadt Osnabrück	3	191774	153955	1865	1648	152090	152307	67136	60941	61467	54431			9528	14734	8038	14015	4801	5615					1120	1056		605		431		286						47														61						85														
40	Nienburg II - Schaumburg	3	199276	157540	2024	1836	155516	155704	80280	73126	57237	50643			5190	9457	5374	12548	4637	5618					2363	2369		808		443		432						75														45						140													435	
41	Stadt Hannover I	3	179372	140366	1855	1548	138511	138818	73195	64477	44061	36313			8333	15356	5419	12349	5565	6666					1731	1658		749		686		312						74													207	92						86														
42	Stadt Hannover II	3	188507	147965	2006	1652	145959	146313	79249	66004	44250	37099			9943	20271	4629	11689	6305	7969					1583	1428		747		539		293						84														106						84														
43	Hannover-Land I	3	231063	187725	2382	2034	185343	185691	92505	82786	70840	60292			6100	13112	7931	18205	5466	6554					2501	2297		991		714		442						87														57						154														
44	Celle - Uelzen	3	217953	172223	2006	1918	170217	170305	79449	69053	70623	61932			5275	11021	6156	16195	5477	7086					2489	2614		1000		579	748	560						77														52						136														
45	Gifhorn - Peine	3	216115	174673	2478	2211	172195	172462	87957	79969	63355	55810			5645	10509	5354	14026	5984	7193					2192	2232		1037		559	1138	851						92							570							67						117														
46	Hameln-Pyrmont - Holzminden	3	201339	158761	2623	2353	156138	156408	78435	74129	54582	45916			6815	9756	7248	15170	6737	7057					2321	2283		1049		436		361						66														44						141														
47	Hannover-Land II	3	238612	195863	2637	2325	193226	193538	99465	90630	69840	58796			8000	15028	6658	16590	6429	7164					2834	2634		1157		815		385						101														83						155														
48	Hildesheim	3	223707	182239	2978	2594	179261	179645	91383	84440	66053	58261			8630	12684	4929	12909	5481	6781					2289	2315		1041		553		383						74														48						156									496					
49	Salzgitter - Wolfenbüttel	3	217909	173204	2918	2856	170286	170348	89068	81279	60671	53365			5718	9317	4466	12572	6896	8596					2680	2704		1087		596	787	528						70														75						159														
50	Braunschweig	3	187823	147350	2168	1953	145182	145397	74710	64679	51257	42048			6613	14421	4414	12344	6376	8096					1579	1597		986		667		230						78													233	127						124														
51	Helmstedt - Wolfsburg	3	188485	148023	2809	2591	145214	145432	71846	67936	54172	46352			5414	8297	4718	11368	5607	6567					2782	2601		988		660	675	442						56														62						103														
52	Goslar - Northeim - Osterode	3	219886	173976	2979	2757	170997	171219	86432	78632	62869	53595			5145	9799	6791	16163	7359	8402					2401	2413		1020		588		290						95														53						169														
53	Göttingen	3	226392	180697	2425	2218	178272	178479	83493	75126	63639	54431			13854	19066	6324	15980	7624	9267					2356	2353		941		762		232						94														85						142											673		309	
903	Niedersachsen	99	6083041	4828902	68855	61254	4760047	4767648	2249746	2058174	1857583	1599947			224575	354853	186474	426341	168205	205200					62313	59744		27404		16910	5384	11107						2188							570						440	1911						3869									496		673		3588	
																																																																								
54	Bremen I	4	252856	196547	2799	2466	193748	194081	93663	77039	54538	46223			23445	32198	7198	17186	12701	15817					2203	2085				1804		614		661																		168						286														
55	Bremen II - Bremerhaven	4	233619	170735	3033	2895	167702	167840	91154	78327	41582	36166			11702	19402	6316	12143	12957	14753					3310	3256				2043		469		791																		115						375													681	
904	Bremen	99	486475	367282	5832	5361	361450	361921	184817	155366	96120	82389			35147	51600	13514	29329	25658	30570					5513	5341				3847		1083		1452																		283						661													681	
																																																																								
56	Prignitz - Ostprignitz-Ruppin - Havelland I	12	176284	126283	2336	2264	123947	124019	47727	45385	29092	27219			6809	5510	5522	7941	31280	32966					3517	3400				780																				591		227																				
