Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	GRÜNE	GRÜNE	FDP	FDP	DIE LINKE	DIE LINKE	Offensive D	Offensive D	REP	REP	NPD	NPD	Die Tierschutzpartei	Die Tierschutzpartei	GRAUE	GRAUE	PBC	PBC	DIE FRAUEN	DIE FRAUEN	FAMILIE	FAMILIE	BüSo	BüSo	BP	BP	ZENTRUM	ZENTRUM	Deutschland	Deutschland	AGFG	AGFG	APPD	APPD	50Plus	50Plus	MLPD	MLPD	Die PARTEI	Die PARTEI	PSG	PSG	Pro DM	Pro DM	CM	CM	DSU	DSU	HP	HP	HUMANWIRTSCHAFTS- PARTEI	HUMANWIRTSCHAFTS- PARTEI	STATT Partei	STATT Partei	UNABHÄNGIGE	UNABHÄNGIGE	Übrige	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen
																																																																								
187	Darmstadt	6	229735	183416	4169	3641	179247	179775	80289	65693	67498	54617			14557	25435	6584	19442	6955	9452				936	2039	1587		1375		757	966							119													359	196				166																
188	Odenwald	6	234100	187764	4950	4742	182814	183022	76617	63338	76696	65039			8882	17382	9421	21458	7275	8810				1867	2912	2176		1668		851								160														80				193			1011													
189	Bergstraße	6	199215	158094	2948	2869	155146	155225	64837	54838	68835	56712			5946	13411	5953	17323	5177	6617				1773	2541	1961		1457		720					1857			126														65				222																
906	Hessen	99	4366988	3437326	80540	77410	3356786	3359916	1415806	1197762	1338785	1131496			195060	340288	158793	392123	142516	178913			1858	27926	51499	41380		26786		15213	3573				1857		653	2958													839	1725				3346			1011										1467		43069	
																																																																								
190	Eichsfeld - Nordhausen - Unstrut-Hainich-Kreis I	16	208484	158345	3123	2769	155222	155576	46127	44045	57982	50360			3824	6121	7455	13068	32141	34797				750	5134	4950				1082					2559																	403																				
191	Eisenach - Wartburgkreis - Unstrut-Hainich-Kreis II	16	206854	155366	3206	2933	152160	152433	53696	47724	43695	40233			4412	6541	7301	11506	34133	37711				1051	6008	5727				1166																					789	774																			2126	
192	Kyffhäuserkreis - Sömmerda - Weimarer Land I	16	207463	155082	3661	3274	151421	151808	44638	43332	46738	40334			4391	6037	7596	12115	41234	40688				1274	6824	6187				1340																						501																				
193	Gotha - Ilm-Kreis	16	218863	165851	3619	3425	162232	162426	60384	50019	47115	42966			4171	7170	7598	12399	34761	40120				1096	7118	6296				1645	1085																					715																				
194	Erfurt - Weimar - Weimarer Land II	16	223315	169272	3221	2732	166051	166540	52304	51375	45728	37749			12553	13638	6801	12638	43520	43048				1241	5145	4235				2080																						536																				
195	Gera - Jena - Saale-Holzland-Kreis	16	248530	190472	3248	2949	187224	187523	59508	57984	45982	40230			9155	12396	10970	15366	55080	51886				1132	6529	5930				2064																						535																				
196	Greiz - Altenburger Land	16	190763	144322	3159	2890	141163	141432	42586	39083	44714	37865			3661	5423	7289	12571	36507	37611				912	6406	6037				1469																						461																				
197	Sonneberg - Saalfeld-Rudolstadt - Saale-Orla-Kreis	16	239958	181086	3614	3226	177472	177860	53561	52230	46818	44322			4687	6501	8850	13278	46099	49406				1254	8520	8164				1616																					806	1089																			8131	
198	Suhl - Schmalkalden-Meiningen - Hildburghausen	16	213525	158033	3120	2854	154913	155179	47046	46986	41833	38376			4981	6149	8108	12068	44753	43073				1256	5780	5462				1155					2412																	654																				
916	Thüringen	99	1957755	1477829	29971	27052	1447858	1450777	459850	432778	420605	372435			51835	69976	71968	115009	368228	378340				9966	57464	52988				13617	1085				4971																1595	5668																			10257	
																																																																								
199	Neuwied	7	242693	190310	3365	3430	186945	186880	82753	66828	81308	72203			4324	11492	7492	20866	7276	9514				786	2042	1842					1750	1532				1689																128																				
200	Ahrweiler	7	193865	152517	3483	2633	149034	149884	53578	47636	73883	64612			5748	8962	8697	18276	5616	6786				565	1512	1266						416				1290																75																				
201	Koblenz	7	196029	152025	2585	2026	149440	149999	58645	52665	67876	57205			8120	11171	6888	17953	6287	7227				593	1624	1431						396				1272																86																				
202	Mosel/Rhein-Hunsrück	7	180870	143887	4343	3452	139544	140435	45617	42870	69904	59542			5633	7954	10584	19253	6133	6821				660	1673	1389						558				1322																66																				
203	Kreuznach	7	191864	147733	3522	3139	144211	144594	60167	55731	62007	48629			5603	9426	6531	17107	6734	8663				877	2332	2150						451				1480																80																			837	
204	Bitburg	7	169169	132623	3428	3043	129195	129580	47087	38928	63253	56908			4923	7442	7443	16636	4875	5968				577	1614	1396						230				1419																76																				
205	Trier	7	185437	143881	3725	3158	140156	140723	56943	50891	60422	50775			7863	12467	6210	14752	6141	8133				605	1561	1478						243				1297																82																			1016	
206	Montabaur	7	212396	167673	3727	3393	163946	164280	62825	55571	76418	63326			6245	10964	7497	20437	7094	8303				908	2486	2151					1381	959				1573																88																				
207	Mainz	7	244758	198652	3861	3178	194791	195474	79760	65285	76345	66416			11235	23409	16930	25213	7204	8964				2388	2382	1626						379				1669																125																			935	
208	Worms	7	198651	157641	3841	3327	153800	154314	70456	58541	57443	51561			5931	11188	9492	17740	7003	8176				1647	3475	3021						662				1678																100																				
209	Ludwigshafen/Frankenthal	7	216306	169870	4002	3722	165868	166148	71775	62072	65848	56038			5885	11585	7331	17301	7509	9624			4639	4578	2444	2417						438				1815															437	280																				
210	Neustadt - Speyer	7	219704	177506	4109	3629	173397	173877	66113	57534	77707	65254			8319	14211	7949	20259	6708	8447			3496	3522	1700	1723					1405	832				2007																88																				
211	Kaiserslautern	7	234939	179680	4905	4270	174775	175410	77325	68201	61781	51844			7596	12369	8687	18237	14464	15397				2176	4922	3971						544				2520																151																				
212	Pirmasens	7	187595	146241	5350	4411	140891	141830	51556	45927	59788	52408			4550	7226	8801	15082	11572	12199				3005	4624	3023						551				2307																102																				
213	Südpfalz	7	209895	167742	3873	3831	163869	163911	61710	53394	70851	60911			7794	13034	10276	19833	6413	7932			3418	3453	2090	2128					1317	835				2238																153																				
907	Rheinland-Pfalz	99	3084171	2427981	58119	50642	2369862	2377339	946310	822074	1024834	877632			99769	172900	130808	278945	111029	132154			11553	26340	36481	31012					5853	9026				25576															437	1680																			2788	
																																																																								
214	Altötting	9	166212	124868	1947	1586	122921	123282	25111	24770			79539	71871	6451	6894	5514	10413	3006	3328				1528	2280	1666				381		151		266		720	1020	271		971												52																				
215	Erding - Ebersberg	9	179381	146284	2351	1322	143933	144962	35731	30981			83991	76249	10767	12844	7708	15256	3698	3947				1667	2038	1066				447		143		364		1014		82		858												44																				
216	Freising	9	197541	157045	2279	1521	154766	155524	36283	34693			87477	80909	12064	12708	8665	15836	4473	4883				1255	2139	1687				459		225		375		1019		83	3665	1331												61																				
217	Fürstenfeldbruck	9	242940	199138	2785	1876	196353	197262	52329	45927			108897	98089	15698	19959	12199	21471	4764	5430				1205	2466	1591				678		244		407		1122		104		969												66																				
218	Ingolstadt	9	245899	187323	2530	2420	184793	184903	40630	48613			121771	97356	7741	10631	4709	14183	5075	5834				1983	2735	2334				451		354		393	2132	1634		82		995												60																				
219	München-Nord	9	202793	152262	1545	1284	150717	150978	65893	45157			61739	54704	8337	22367	7272	18274	3959	6082				631	1334	1134				630		171		285	1207	717	260	135	716	614												77																				
220	München-Ost	9	219413	170380	2082	1360	168298	169020	61036	48238			73067	65031	14060	23001	12650	22078	4833	6158				716	1563	1101				727		148		302		591	1089	245		608												76																				
221	München-Süd	9	200500	154386	1720	1213	152666	153173	56508	44729			67133	58952	12470	20697	9134	18372	4099	5953				598	1363	1198				719		205		258	1518	703	441	193		523												73																				
222	München-West/Mitte	9	217460	168905	1908	1446	166997	167459	65603	47653			71321	61266	13180	27261	8098	19896	4768	6577				719	1552	1207				687		190		306	1720	861	381	181		591												64											374									
223	München-Land	9	226705	189295	2022	1346	187273	187949	56830	45027			98674	85350	14555	20018	11630	27439	3750	4826				856	1834	1231				755		196		361		917		107		815												51																				
224	Rosenheim	9	222020	173077	2543	1677	170534	171400	37351	35482			102768	93811	12159	13437	7045	16044	3598	4314			4151	3079	1267	1191				700		280		358		1134	454	300		1205												65																	1741			
225	Starnberg	9	247824	202092	2428	1780	199664	200312	43843	38408			119161	104663	14839	19618	15733	26850	3858	4566				1093	2230	1456				629		238		348		913		101		1368												61																				
226	Traunstein	9	202947	157644	2553	1737	155091	155907	33582	30823			99041	89686	9390	11072	5567	12844	4102	4339				1776	2373	1752				458	1036	542		325		952		125		1162												51																				
227	Weilheim	9	244362	195607	2574	1880	193033	193727	41229	39115			114756	104036	15068	16425	9166	20702	5068	5504				1232	2278	1630				551		371		400		1275		111	3754	2296												79																			1714	
228	Deggendorf	9	154154	109196	1729	1224	107467	107972	25586	22111			65555	62255	3204	4041	6206	8530	3603	4045				2109	3313	2370				253		204		309		718		43		950												34																				
229	Landshut	9	242102	186087	3412	2085	182675	184002	40546	39785			107698	102023	12223	11039	12895	17012	5195	5583				1533	4118	2906				517		233		446		1376		124		1363												62																				
230	Passau	9	184728	132420	2120	1422	130300	130998	27765	29997			76236	71879	6429	6516	12927	12095	4142	4571				1256	2801	2015				381		182		285		781		82		921												37																				
231	Rottal-Inn	9	161553	119605	3310	1883	116295	117722	25816	23382			75543	71195	4643	4849	5390	8694		2966				1536	3349	2405				274		120		329		807	1554	295		816												54																				
232	Straubing	9	172616	127264	1975	1578	125289	125686	24953	25931			85192	74793	3813	4184	4210	9272	3731	4292				1660	3390	2627				330		129		369		1019		52		980												48																				
233	Amberg	9	213156	166438	2981	2441	163457	163997	41223	42738			96174	86155	8094	8714	7146	12185	5110	5746				1112	3617	3271				435		443		464		1309		113	2093	1254												58																				
234	Regensburg	9	236419	180592	2468	2079	178124	178513	50566	46510			94356	86356	11152	15210	8392	15999	5309	6463				1129	2819	2488				406		184		372	2710	1664	474	188	2346	1483												61																				
235	Schwandorf	9	215477	160516	2785	2511	157731	158005	44381	41539			91714	84368	4860	6045	4773	11024	5300	5937				1623	4600	3752				364		247		416		1320		88		1218												64																			2103	
236	Weiden	9	172807	134636	2240	2476	132396	132160	36454	39773			64110	67015	3142	5149	3735	8458	3477	4764				1003	2271	2722				330		192		425		1029		83	1263	1162												55																			17944	
237	Bamberg	9	173588	135999	2566	1467	133433	134532	31777	32012			76536	67980	13782	10386	7137	12189		4702				2262	4201	2319				387		329		368		889		89		505												115																				
238	Bayreuth	9	165436	128398	1909	1396	126489	127002	36352	36118			70928	61086	5396	7802	6703	11557	3808	4355				2084	2421	1802				350	881	531		314		658		45		257												43																				
239	Coburg	9	164542	128079	2391	1621	125688	126458	41705	41691			65352	57476	6580	6468	4803	10348	4073	4732				795	3175	2886				309		313		342		718		57		224												99																				
240	Hof	9	186643	141563	2403	2237	139160	139326	51635	45909			69788	61441	4623	7001	4601	11519	5289	6105				1421	3224	2609				513		807		386		974		98		496												47																				
241	Kulmbach	9	173566	137658	2691	1913	134967	135745	35160	36213			81041	70251	5226	6385	4991	10384	4308	4876				1828	4241	3185				317		396		369		922		86		470												63																				
242	Ansbach	9	242756	187535	3192	2428	184343	185107	55329	53775			100090	87051	9851	13327	7475	14434	5171	6537				2482	4213	3063				520	2214	1483		584		1244		101		405												101																				
243	Erlangen	9	172655	139877	1470	1481	138407	138396	54726	44033			65612	57370	7203	14723	4913	13184	3113	4574				648	1799	1553				406	564	437		256		695	477	170		279												68																				
244	Fürth	9	245961	190859	3120	2418	187739	188441	65014	60544			92017	79648	10319	15160	7896	16317	7913	7883				1617	4580	3374				671		784		478		1327		104		413												121																				
245	Nürnberg-Nord	9	183712	139713	1729	1500	137984	138213	55046	46456			57917	49634	9878	17221	5317	12476	5780	7178				693	2283	1944				615	638	461		312		557		77	907	428											218	161																				
