Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	GRÜNE	GRÜNE	FDP	FDP	PDS	PDS	Deutschland	Deutschland	APPD	APPD	APD	APD	BP	BP	BüSo	BüSo	BFB	BFB	CHANCE 2000	CHANCE 2000	CM	CM	DPD	DPD	DVU	GRAUE	GRAUE	REP	REP	FAMILIE	FAMILIE	DIE FRAUEN	DIE FRAUEN	HP	HP	Pro DM	MLPD	MLPD	Tierschutz	Tierschutz	NPD	NPD	NATURGESETZ	NATURGESETZ	FORUM	FORUM	ödp	ödp	PBC	PBC	AB 2000	AB 2000	Nichtwähler	PASS	PASS	PSG	DKP	DSU	ZENTRUM	DMP	FP Deutschl.	FSU	STATT Partei	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																																																														
124	Waldeck	906	164438	140135	2179	1937	137956	138198	73062	68050	50181	43304	0	0	4954	7931	3609	9944	1134	1516	0	0	0	84	0	0	0	0	0	22	1461	1056	0	101	0	71	0	0	1209	514	355	2892	2442	0	0	0	108	0	0	1074	0	0	0	407	0	212	0	62	0	0	0	88	0	135	0	0	0	149	0	27	0	0	0	0	0	0	0	0
125	Kassel	906	174916	146448	2381	1993	144067	144455	69715	66693	50213	42809	0	0	14286	15900	3039	8865	2016	2917	0	0	0	106	0	0	0	0	0	32	1248	1072	0	220	0	79	0	0	1067	600	455	2463	2039	0	0	0	169	0	0	1008	106	0	0	482	0	134	0	113	0	0	0	70	0	174	0	0	0	0	0	51	0	0	0	0	0	0	0	381
126	Werra-Meißner	906	166526	145125	2117	1961	143008	143164	83300	78786	43067	38604	0	0	6692	8554	3260	8536	1422	1745	0	0	0	86	0	0	0	0	0	24	1271	874	0	74	0	47	0	0	1015	393	292	3009	2422	0	0	0	97	0	0	1125	0	0	0	433	0	133	380	143	0	0	0	50	0	105	0	0	0	0	0	19	0	0	0	0	0	0	0	214
127	Schwalm-Eder	906	158139	135650	2347	2226	133303	133424	69718	66380	47285	41391	0	0	4845	6787	4485	9056	1370	1544	0	0	0	129	0	0	0	0	0	36	1385	895	0	114	0	75	0	0	1177	384	266	3831	3390	0	0	0	107	0	0	1012	0	0	0	377	0	298	0	44	0	0	0	83	0	246	0	0	0	0	0	17	0	0	0	0	0	0	0	0
128	Hersfeld	906	166894	144681	3779	2439	140902	142242	72856	69581	51884	46812	0	0	4035	7143	3581	8306	1326	1453	0	0	0	102	0	0	0	0	0	26	4390	2879	0	84	0	88	0	0	1913	439	292	2391	1763	0	0	0	87	0	0	855	0	0	0	356	0	233	0	48	0	0	0	31	0	173	0	0	0	0	0	17	0	0	0	0	0	0	0	0
129	Marburg	906	181430	153443	1871	1794	151572	151649	72356	65679	60011	50302	0	0	7339	13927	2929	9506	2297	2845	0	0	0	187	0	0	0	0	269	121	417	350	0	123	410	256	0	0	1008	0	209	4561	4532	0	0	0	132	0	0	1001	0	0	0	370	584	442	399	155	0	0	0	140	0	345	0	0	0	0	0	19	0	0	0	0	0	0	0	0
130	Lahn-Dill	906	210229	171897	2750	2517	169147	169380	82091	75104	64447	57725	0	0	6115	9451	4845	11604	1729	2049	0	0	0	147	0	0	0	0	0	42	1252	963	0	92	0	179	0	0	1805	0	260	5151	4880	0	0	0	106	0	0	1623	0	0	0	494	2236	1681	0	89	0	0	0	98	1281	962	0	0	0	0	0	26	0	0	0	0	0	0	0	0
131	Gießen	906	211017	176243	3180	2450	173063	173793	80261	72962	67266	58254	0	0	7677	13668	7171	14553	2238	2800	0	0	0	169	0	0	0	0	0	28	1756	1208	0	105	0	61	0	0	1737	548	363	5181	4654	0	0	0	152	0	0	1399	0	0	0	621	0	416	0	134	0	0	0	104	540	377	0	0	0	0	0	28	0	0	0	0	0	0	0	425
132	Fulda	906	236896	201552	4348	3594	197204	197958	76244	70677	97661	83495	0	0	7371	10906	5612	13985	2633	2520	0	0	0	185	0	0	0	0	0	53	0	1886	0	201	0	232	0	0	3970	0	383	6834	6274	0	0	0	208	0	0	1356	0	0	0	611	0	268	0	92	0	0	0	136	849	480	0	0	0	0	0	40	0	0	0	0	0	0	0	0
133	Hochtaunus	906	239853	207048	3456	2756	203592	204292	77125	70440	94576	80528	0	0	11305	16480	11308	23973	2051	2447	0	0	0	175	0	0	0	0	0	55	2303	1552	0	185	0	96	0	0	1490	0	375	4365	3694	0	0	0	179	0	0	1101	0	0	0	645	0	323	0	153	0	0	559	191	0	176	0	0	0	0	0	34	0	0	0	0	0	0	0	0
134	Wetterau	906	211682	177648	3610	2955	174038	174693	80548	73043	71641	61160	0	0	7107	12623	4814	14119	1713	2205	0	0	0	182	0	0	0	0	0	65	1352	1045	0	170	0	97	0	0	1526	0	304	3415	3223	0	0	0	205	0	0	1268	0	0	0	664	2929	2190	0	126	0	0	0	93	519	350	0	0	0	0	0	35	0	0	0	0	0	0	0	0
135	Rheingau-Taunus - Limburg	906	214314	181094	3456	2817	177638	178277	73070	66531	83128	72984	0	0	8480	12607	4900	14566	1621	2020	0	0	0	189	0	0	0	0	0	73	1482	915	0	138	0	92	0	0	1671	0	362	4229	3685	0	0	0	178	0	0	919	0	0	0	586	0	216	0	111	0	0	0	125	349	272	0	0	0	0	0	37	0	0	0	0	0	0	0	379
136	Wiesbaden	906	185832	151643	2389	1974	149254	149669	66021	56877	62967	52923	0	0	7026	14753	3763	13069	1618	2372	0	0	0	135	0	0	0	0	175	118	1203	949	0	108	125	104	0	0	1051	727	544	5013	4792	0	0	0	140	0	0	637	0	0	0	426	0	129	0	98	0	0	0	90	296	329	0	0	0	0	0	25	0	0	0	0	0	0	0	320
137	Hanau	906	234273	196848	3514	3161	193334	193687	87143	78691	83397	68467	0	0	9060	14769	4554	14516	2751	3039	0	0	0	166	0	0	0	0	0	86	0	436	0	226	0	154	0	0	2906	0	469	6429	6523	0	0	0	279	0	0	1279	0	0	0	833	0	277	0	136	0	0	0	119	0	274	0	0	0	0	0	42	0	0	0	0	0	0	0	0
138	Frankfurt am Main I - Main-Taunus	906	169398	140060	2101	1786	137959	138274	54448	51083	60717	50182	0	0	9234	11967	3555	12079	1791	2434	0	0	0	116	0	0	0	0	0	30	3470	2534	0	105	0	86	0	0	1388	0	519	4155	3428	0	0	0	113	0	0	897	0	0	0	651	0	203	589	207	0	0	0	137	0	95	0	0	0	0	0	20	0	0	0	0	0	0	0	0
139	Frankfurt am Main II	906	142613	115519	1620	1324	113899	114195	47522	38091	45703	37570	0	0	9537	17654	4243	11681	1973	3007	0	0	0	124	0	0	0	0	180	61	0	424	0	102	0	41	0	0	1045	717	478	3059	2247	0	0	239	137	0	0	599	0	0	0	415	0	160	313	164	0	0	0	70	0	105	0	0	0	0	0	20	136	0	0	0	0	0	0	277
140	Frankfurt am Main III	906	144564	117231	1769	1510	115462	115721	44914	40582	43450	36638	0	0	17791	18631	3111	9959	1912	2992	0	0	0	134	0	0	0	0	0	23	0	473	0	136	0	56	0	0	993	789	546	3085	2607	0	0	0	144	0	0	693	0	0	0	519	0	179	410	196	0	0	0	84	0	119	0	0	0	0	0	17	0	0	0	0	0	0	0	0
141	Groß-Gerau	906	219452	187558	3337	2817	184221	184741	89035	79561	70273	62015	0	0	10175	16144	4743	13691	2273	2588	0	0	0	176	0	0	0	0	304	128	1339	806	0	114	0	94	0	0	1501	0	454	5311	4707	0	0	0	136	0	0	1060	0	0	0	723	0	223	768	284	0	0	0	108	0	211	0	0	0	0	0	17	0	0	0	0	0	0	0	0
142	Offenbach	906	220006	182721	3236	2645	179485	180076	77988	67637	77276	65477	0	0	7831	16258	5734	16635	2130	2822	0	0	0	158	0	0	0	0	0	49	1558	995	0	130	0	92	0	0	1424	0	467	5354	4804	0	0	0	134	0	0	1261	0	0	0	701	619	418	560	238	0	0	435	219	0	117	0	0	0	0	0	40	0	0	0	0	0	0	0	0
143	Darmstadt	906	211831	178501	3250	2748	175251	175753	81862	73780	65790	53725	0	0	14437	22176	4962	15055	2018	2812	0	0	0	158	0	0	0	0	0	47	604	468	0	182	0	104	0	0	1222	754	590	2716	2428	0	0	488	310	0	0	722	115	0	0	697	709	524	421	207	0	0	0	123	0	384	0	0	0	0	0	39	0	0	0	0	0	0	0	375
144	Odenwald	906	239244	204277	4760	3593	199517	200684	89599	84546	82983	73260	0	0	10175	14814	6555	14477	2184	2415	0	0	0	185	0	0	0	0	0	49	0	462	0	125	576	257	0	0	1307	945	570	4913	4564	0	0	0	179	0	0	1181	0	0	0	816	1068	808	0	164	0	0	0	148	0	328	0	0	0	0	0	29	0	0	0	0	0	0	0	519
145	Bergstraße	906	193655	164562	3179	2356	161383	162206	73222	67124	70781	60533	0	0	6587	10796	3490	11813	1500	1674	0	0	0	133	0	0	0	0	0	38	0	334	0	112	0	103	0	0	1709	1070	693	4733	4497	0	0	0	127	0	0	1120	0	0	0	782	0	219	0	121	0	0	0	97	0	158	0	0	0	0	0	23	0	0	0	0	0	0	0	0
906	Hessen		4297202	3619884	64629	53353	3555255	3566531	1622100	1481898	1444697	1238158	0	0	192059	293939	104263	279988	41700	52216	0	0	0	3226	0	0	0	0	928	1206	26491	22576	0	2947	1111	2464	0	0	34134	7880	9246	93090	83595	0	0	727	3427	0	0	23190	221	0	0	12609	8145	9686	3840	3085	0	0	994	2404	3834	5915	0	0	0	149	0	622	136	0	0	0	0	0	0	2890
																																																																														
146	Neuwied	907	237372	199113	3194	2384	195919	196729	89208	83604	86577	78578	0	0	7935	10834	6105	13536	1758	1994	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	1450	0	458	2824	2096	0	0	0	151	0	0	1678	0	0	0	730	0	257	0	139	0	0	705	295	807	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0
147	Ahrweiler	907	186089	155630	3845	2031	151785	153599	61579	56988	73338	70251	0	0	5972	8309	7384	11579	0	1171	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	850	0	360	2200	1468	0	0	0	86	0	0	931	0	0	0	495	0	197	0	90	0	0	874	328	438	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0
148	Koblenz	907	192628	161117	3315	2110	157802	159007	69267	64058	72960	66608	0	0	6670	10103	4743	11079	1377	1520	0	0	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	0	1170	0	396	2091	1317	0	0	0	137	0	0	1106	0	0	0	572	0	186	0	107	0	0	694	248	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0
149	Cochem	907	145673	122667	3107	2349	119560	120318	45295	43293	59442	54974	0	0	5107	6015	7434	10184	0	1010	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	697	0	318	2282	1583	0	0	0	136	0	0	900	0	0	0	484	0	145	0	100	0	0	0	102	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
150	Kreuznach	907	190272	157216	2794	1971	154422	155245	72549	71566	65110	54750	0	0	6132	8475	4095	11186	1466	1545	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	1388	0	369	3356	2806	0	0	0	141	0	0	1274	0	0	0	720	0	286	0	117	0	0	0	159	0	249	0	0	0	0	0	0	0	0	0	0	0	0	1072	642
151	Bitburg	907	166304	138602	3202	2635	135400	135967	50410	47587	70627	64163	0	0	5954	7235	5539	10558	0	1080	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	799	0	539	2025	1629	0	0	0	118	0	0	782	0	0	0	589	0	129	0	98	0	0	845	274	0	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	Trier	907	181269	150522	2763	2469	147759	148053	66858	62819	64319	58309	0	0	8304	11455	4548	9112	0	1371	0	0	0	0	0	0	0	0	0	0	0	113	0	0	284	0	0	0	522	824	637	2164	1698	0	0	0	104	0	0	769	0	0	0	556	0	106	0	103	0	0	458	226	0	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	Montabaur	907	238608	200900	3585	2665	197315	198235	93074	84210	87070	78023	0	0	7068	10661	5940	13801	0	2018	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	1873	0	488	4163	2966	0	0	0	209	0	0	1643	0	0	0	894	0	310	0	194	0	0	0	163	0	407	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	Mainz	907	231534	196094	2906	2184	193188	193910	84204	75080	73016	70643	0	0	10700	19159	14593	16681	2324	2818	0	0	0	0	0	0	0	0	133	0	0	337	0	0	286	0	0	0	1017	0	552	5573	4355	0	0	0	138	0	0	1067	0	0	0	727	0	204	816	325	0	0	1012	569	0	238	0	0	0	0	0	0	0	0	0	0	0	0	531	0
155	Worms	907	189617	159641	3049	2264	156592	157377	78371	70798	58134	53269	0	0	7821	10035	6452	12225	0	1894	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	1378	0	315	5086	4115	0	0	0	192	0	0	950	0	0	0	763	0	311	0	159	0	0	0	168	728	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0
156	Frankenthal	907	154614	131714	2442	1971	129272	129743	61407	58061	51007	45960	0	0	6344	7047	4241	8559	0	1304	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	1090	0	319	5207	4099	0	0	0	146	0	0	1040	0	0	0	680	0	369	1066	325	0	0	0	120	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0
157	Ludwigshafen	907	154312	129434	1848	1748	127586	127686	61150	56260	52072	45084	0	0	3716	6635	2424	7928	0	1521	0	0	0	0	0	0	0	0	0	0	1078	857	0	0	0	0	0	0	1259	727	591	5500	4883	0	0	0	121	0	0	960	0	0	0	654	0	222	482	239	0	0	437	218	0	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0
158	Neustadt - Speyer	907	180381	153104	2871	2252	150233	150852	61759	55318	69516	62833	0	0	6384	9857	4674	11150	0	1497	0	0	0	0	0	0	0	0	0	0	0	526	0	0	0	0	0	0	899	0	328	5837	4722	0	0	0	184	0	0	1212	0	0	0	785	0	243	872	328	0	0	1191	596	0	374	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159	Kaiserslautern	907	219501	180097	4393	3436	175704	176661	89455	83360	65260	59342	0	0	6648	9395	6420	10072	0	1768	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	1473	0	490	7921	6371	0	0	0	219	0	0	1768	0	0	0	998	0	436	0	176	0	0	0	221	0	333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
160	Pirmasens	907	148054	123687	3582	2654	120105	121033	54882	52179	48408	46093	0	0	5025	5156	4713	7153	0	1131	0	0	0	0	0	0	0	0	0	0	0	504	0	0	0	0	0	0	1259	0	414	4844	3714	0	0	0	136	0	0	1104	0	0	0	746	0	429	1150	345	0	0	1083	414	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0
161	Südpfalz	907	199808	170179	3049	2842	167130	167337	66553	63705	78722	66378	0	0	7485	11638	5103	12213	0	1441	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	794	0	385	6342	5854	0	0	0	177	0	0	1372	0	0	0	904	934	702	0	181	0	0	1181	741	810	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0
907	Rheinland-Pfalz		3016036	2529717	49945	37965	2479772	2491752	1106021	1028886	1075578	975258	0	0	107265	152009	94408	177016	6925	25083	0	0	0	0	0	0	0	0	133	0	1078	5117	0	0	570	0	0	0	17918	1551	6959	67415	53676	0	0	0	2395	0	0	18556	0	0	0	11297	934	4532	4386	3026	0	0	8480	4842	2783	5182	0	0	0	0	0	0	0	0	0	0	0	0	1603	642
																																																																														
162	Stuttgart I	908	178694	150160	1258	1119	148902	149041	50674	50934	56139	47496	0	0	28755	23059	6536	17692	969	1804	0	0	0	117	0	0	0	0	0	27	0	119	0	0	0	102	0	46	790	529	478	4282	4026	0	0	0	110	0	0	773	133	89	0	449	0	119	325	172	0	0	382	381	0	246	0	0	0	0	0	12	0	0	0	0	0	0	0	178
163	Stuttgart II	908	179860	147099	1595	1527	145504	145572	63065	56815	55008	47332	0	0	10038	15515	6359	13409	1300	1755	0	0	0	90	0	0	0	0	0	25	0	120	0	0	155	103	0	57	934	895	665	7175	6486	0	0	0	106	0	0	722	186	120	0	489	0	137	388	152	0	0	425	295	255	218	0	0	0	0	0	27	0	0	0	0	0	0	0	255
164	Böblingen	908	239572	204171	2767	2255	201404	201916	78502	70851	88536	76136	0	0	13782	18001	8649	20845	1831	1787	0	0	0	164	0	0	0	0	0	55	0	274	0	0	0	331	0	84	1469	0	501	8225	8208	0	0	0	245	0	0	815	157	68	0	570	0	179	551	224	0	0	603	430	0	647	0	0	0	0	0	32	0	0	0	0	0	0	0	568
165	Esslingen	908	157080	134481	1617	1261	132864	133220	60952	49489	53457	49729	0	0	6883	12284	4330	11248	867	988	0	0	0	95	0	0	0	0	0	16	0	63	0	0	0	92	0	55	490	0	273	5359	5911	0	0	0	76	0	0	763	123	69	0	584	0	146	526	215	0	0	367	220	0	396	0	0	0	0	0	18	0	0	0	0	0	0	0	0
166	Nürtingen	908	182480	155905	2346	1854	153559	154051	54405	53286	65841	57382	0	0	15932	14375	5960	15235	1077	1158	294	0	0	136	0	0	0	0	0	42	0	105	0	0	0	89	0	34	749	0	264	8236	7948	0	0	0	101	0	0	909	0	38	0	676	0	147	545	209	0	0	481	378	788	754	0	0	0	0	0	36	0	0	0	0	0	0	0	0
167	Göppingen	908	176627	147030	2237	1936	144793	145094	61301	56651	61332	50642	0	0	6864	10761	4516	13213	0	1014	0	0	0	108	0	0	0	0	0	24	0	84	0	0	0	122	0	37	569	0	224	7748	7504	0	0	0	112	0	0	1421	0	42	0	758	529	413	561	279	0	0	1314	593	0	490	0	0	0	0	0	33	0	0	0	0	0	0	0	628
168	Waiblingen	908	210374	177198	2343	1832	174855	175366	68235	62123	74923	63160	0	0	12809	16119	6963	18660	1325	1491	0	0	0	134	0	0	0	0	0	29	0	143	0	0	0	109	0	44	833	0	433	8022	8051	0	0	0	145	0	0	1097	0	43	0	721	0	213	0	173	0	0	909	584	1329	1038	0	0	0	0	0	23	0	0	0	0	0	0	0	340
169	Ludwigsburg	908	194918	165291	2097	1813	163194	163478	56796	60956	72340	57161	0	0	16457	14524	6383	16952	1409	1610	0	0	0	150	0	0	0	0	0	58	0	143	0	0	0	114	112	91	1038	753	576	7504	7214	0	0	0	176	0	0	848	106	59	0	542	0	242	0	119	0	0	515	289	688	591	0	0	0	0	0	25	0	0	0	0	131	0	0	0
170	Neckar-Zaber	908	196951	168926	2566	2229	166360	166697	70775	60512	66119	57774	0	0	10030	14802	8041	17461	1423	1543	0	0	0	187	0	0	0	0	0	52	0	174	0	0	0	221	0	72	937	0	463	9225	9193	0	0	0	187	0	0	995	0	30	0	559	0	245	0	152	0	0	747	407	0	707	0	0	0	0	0	24	0	0	0	0	0	0	0	0
171	Heilbronn	908	234627	194813	3313	3102	191500	191711	77654	71814	83782	69254	0	0	8666	13538	5746	16898	1691	1801	0	0	0	139	0	0	0	0	0	34	0	208	0	0	0	133	0	61	957	0	381	11390	12188	0	0	0	205	0	0	980	0	52	0	645	0	397	589	286	0	0	891	600	1091	1097	0	0	0	0	0	43	0	0	0	0	0	0	0	0
172	Schwäbisch Hall - Hohenlohe	908	208753	171001	2722	2893	168279	168108	60259	56706	62588	58500	0	0	9768	14315	13505	19130	1227	1568	0	0	0	192	0	0	0	0	0	33	881	620	0	0	0	143	0	74	1109	0	273	9206	10544	0	0	0	180	0	0	1098	0	28	0	542	0	493	472	281	0	0	1049	927	1426	1291	0	0	0	0	0	61	0	0	0	0	0	0	0	7898
173	Backnang - Schwäbisch Gmünd	908	168809	138907	2640	2158	136267	136749	52511	49995	57011	50184	0	0	8156	11059	7032	11486	1125	1135	0	0	0	132	0	0	0	0	0	46	0	95	0	0	0	111	0	23	717	649	416	8282	8290	0	0	0	124	0	0	900	0	46	0	432	0	190	0	130	0	0	679	471	822	731	0	0	0	0	0	36	0	0	0	0	0	0	0	0
174	Aalen - Heidenheim	908	219980	183538	3828	3212	179710	180326	72157	70796	79462	68902	0	0	10003	11730	5288	12319	0	1206	0	0	0	154	0	0	0	0	0	32	0	125	0	0	0	160	276	104	877	0	305	9776	9533	0	0	0	195	0	0	1574	0	28	0	513	0	164	0	108	0	0	1442	769	854	686	0	0	0	0	0	46	452	0	0	0	0	0	0	0
175	Karlsruhe-Stadt	908	212837	172224	2360	2201	169864	170023	67864	66345	56033	57107	0	0	13440	17963	24371	17357	1836	2575	0	0	0	168	0	0	0	0	0	22	526	324	0	0	0	86	0	32	749	525	416	3472	3502	0	0	0	112	0	0	1297	138	73	0	556	561	398	0	90	0	0	520	322	578	505	0	0	0	0	0	24	0	0	0	0	0	0	0	0
176	Karlsruhe-Land	908	239649	203154	3827	3179	199327	199975	77772	72569	93165	82495	0	0	9654	13253	6177	15176	1720	1846	0	0	0	197	0	0	0	0	0	49	0	237	0	0	0	196	0	80	1104	991	613	7713	7464	0	0	0	179	0	0	1617	0	40	0	887	0	343	0	138	0	0	849	387	1286	1065	0	0	0	0	0	40	0	0	0	0	0	0	0	0
177	Rastatt	908	239171	196907	3953	3306	192954	193601	71645	68297	95071	82610	0	0	10552	13760	7782	15766	0	1749	0	0	0	167	0	0	0	0	0	89	0	311	0	0	0	233	0	145	1030	624	443	6193	5735	0	0	0	213	0	0	1262	0	12	0	643	0	275	0	113	0	0	645	368	442	361	0	0	0	0	0	19	0	0	0	0	0	0	0	0
178	Heidelberg	908	189654	160708	2201	1976	158507	158732	70603	59772	62516	54731	0	0	11256	20392	6123	13576	1493	2170	0	0	0	150	0	0	0	0	0	23	0	296	0	0	0	50	0	42	822	663	473	3890	3479	0	0	0	131	0	0	1073	0	26	0	522	0	225	0	126	0	0	668	305	362	314	0	0	0	0	0	34	0	0	0	430	0	0	0	503
179	Mannheim I	908	135729	106531	1371	1355	105160	105176	51385	47946	39496	33221	0	0	5570	8789	1918	6086	1270	1665	0	0	336	150	0	0	0	0	0	28	655	477	0	0	0	85	0	40	1126	492	412	3575	3172	0	0	0	117	0	0	869	88	48	0	424	0	214	0	55	0	0	189	92	0	135	0	0	0	0	0	25	0	0	0	186	0	0	0	0
180	Mannheim II	908	159812	137315	1912	1630	135403	135685	63442	53727	55903	49320	0	0	5711	11845	4006	10986	1258	1534	0	0	0	142	0	0	0	0	0	26	0	311	0	0	0	65	0	38	1060	881	638	3802	3330	0	0	0	126	0	0	1195	0	22	0	538	0	325	0	84	0	0	400	179	0	175	0	0	0	0	0	19	0	0	0	0	0	0	0	0
181	Odenwald - Tauber	908	209725	174409	4502	3315	169907	171094	60342	56608	84852	78303	0	0	7646	9962	5202	11485	0	1366	0	0	0	195	0	0	0	0	0	78	1622	744	0	0	0	240	0	80	1128	0	269	6538	6473	0	0	0	174	0	0	1355	0	23	0	555	0	335	0	101	0	0	1860	945	784	640	0	0	0	0	0	35	0	0	0	0	0	0	0	1061
182	Rhein-Neckar	908	183999	157248	2851	2280	154397	154968	64707	57743	68301	60888	0	0	8767	12733	5450	12139	0	1418	0	0	0	134	0	0	0	0	0	15	0	203	0	0	0	165	0	53	874	0	290	5506	4986	0	0	0	194	0	0	1125	0	12	0	589	0	268	0	107	0	0	1034	449	0	543	0	0	0	0	0	40	0	0	0	0	0	0	0	632
183	Pforzheim	908	219136	181447	2759	2618	178688	178829	78001	66707	72545	65977	0	0	7862	12744	7347	16962	1606	1821	0	0	0	160	0	0	0	0	0	35	1131	647	0	0	0	207	0	122	1785	649	533	7777	7166	0	0	0	168	0	0	1227	0	19	0	767	0	177	0	157	0	0	508	295	1262	1126	0	0	0	0	0	27	0	0	0	0	0	0	0	0
184	Calw	908	189913	156535	2369	2227	154166	154308	53926	49495	73320	63141	0	0	7667	10921	6948	15457	1133	1351	0	0	0	135	0	0	0	0	0	39	0	167	0	0	0	232	0	71	1239	698	508	6843	6901	1002	0	0	143	0	0	1359	0	27	0	651	0	257	0	124	0	0	834	550	1795	1501	0	0	0	0	0	39	0	0	0	0	0	0	0	0
185	Freiburg	908	223897	187250	3014	2542	184236	184708	76430	61925	69485	58761	0	0	25079	37702	5692	14547	0	2696	0	0	0	294	0	0	0	0	0	32	0	134	0	0	0	256	0	62	803	0	544	3827	3595	0	0	0	158	0	0	745	0	51	0	825	0	152	557	245	0	0	1205	673	538	474	0	0	0	0	0	34	0	0	0	0	0	0	0	1423
186	Lörrach - Müllheim	908	210153	170571	3217	2428	167354	168143	75237	65587	65849	58880	0	0	12321	18899	5908	12745	0	1738	0	0	0	179	0	0	0	0	0	39	0	105	0	0	0	186	469	137	635	0	442	5300	4817	0	0	0	106	0	0	1027	0	30	0	683	0	186	0	166	0	0	931	475	1339	1039	0	0	0	0	0	42	0	0	0	0	0	0	0	0
187	Emmendingen - Lahr	908	213945	174638	3658	3517	170980	171121	71192	64903	71456	65527	0	0	12980	16818	6253	11889	0	1527	0	0	0	226	0	0	0	0	0	29	0	107	0	0	1825	1515	0	50	681	0	296	5377	4611	0	0	0	120	0	0	825	0	14	0	766	0	143	0	140	0	0	876	451	662	450	0	0	0	0	0	33	0	0	0	0	0	0	0	359
188	Offenburg	908	197065	155885	3703	3330	152182	152555	50466	52950	80094	65404	0	0	9280	12360	4238	10645	1732	1562	0	0	0	177	0	0	0	0	0	38	0	202	0	0	0	305	0	58	702	0	295	4765	4909	0	0	0	135	0	0	980	0	7	0	585	0	198	592	250	0	0	542	310	0	445	0	0	0	0	0	38	0	0	0	0	0	0	0	473
189	Rottweil - Tuttlingen	908	192889	159559	3422	3121	156137	156438	55012	51937	72640	66524	0	0	7648	10152	9474	13640	1569	1677	418	0	0	199	0	0	0	0	0	82	0	209	0	0	634	414	0	65	1283	622	496	5552	5362	0	0	0	202	0	0	1409	0	16	0	552	0	302	0	146	0	0	1799	1066	769	658	0	0	0	0	0	47	0	0	0	0	0	0	0	0
190	Schwarzwald-Baar	908	147356	121016	2087	1796	118929	119220	43484	42397	53380	47904	0	0	8323	8954	6354	10243	1288	1402	0	0	0	121	0	0	0	0	0	21	0	90	0	0	0	174	0	39	661	712	488	3901	3662	0	0	0	85	0	0	1070	0	17	0	445	0	247	0	85	0	0	678	359	809	729	0	0	0	0	0	27	0	0	0	0	0	0	0	0
191	Konstanz	908	184648	150402	2759	2023	147643	148379	50015	53455	65241	54532	0	0	17573	15975	8791	14327	1575	1564	0	0	0	146	0	0	0	0	0	27	0	133	0	0	0	190	0	54	1020	0	412	3535	3229	0	0	0	158	0	0	1168	0	29	0	770	0	186	0	152	0	0	913	488	0	337	0	0	0	0	0	27	0	0	0	0	0	0	0	0
