Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CDU	CSU	FDP	FDP	GRÜNE	GRÜNE	ASD	ASD	B P	B P	C.B.V.	C.B.V.	ZENTRUM	ZENTRUM	MUENDIGE	MUENDIGE	FRAUEN	FRAUEN	FAP	FAP	MLPD	MLPD	NPD	NPD	OE D P	OE D P	PATRIOTEN	PATRIOTEN	FAMILIE	SOLIDARITAET	F S U	H P	U A P	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
																																														
901	SCHLESWIG-HOLSTEIN	SH	2039338	1720817	19100	14610	1701717	1706207	731077	679229	784199	715746	0	0	72535	160861	99606	136051	0	0	0	0	0	0	0	0	0	0	0	4514	0	0	0	485	6203	8196	0	0	1433	1125	0	0	110	0	0	6554
																																														
12	HAMBURG-MITTE	HH	168617	131968	1125	789	130843	131179	61587	58089	47995	44881	0	0	5424	9697	14281	17500	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	67	0	549	0	0	281	161	0	0	0	0	0	1275
13	HAMBURG-ALTONA	HH	174686	145467	951	763	144516	144704	59108	54708	60715	54790	0	0	8431	15971	14231	18211	0	0	0	0	0	0	0	0	0	0	0	257	0	0	0	57	636	594	0	0	124	116	0	0	0	0	0	1271
14	HAMBURG-EIMSBUETTEL	HH	182238	151922	1296	1051	150626	150871	62531	57591	59440	54844	0	0	8405	15299	18138	22201	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	43	0	486	0	0	260	135	0	0	0	0	0	1852
15	HAMBURG-NORD	HH	202881	175708	1234	975	174474	174733	70911	63090	74645	67207	0	0	8872	21277	17877	22193	0	0	0	0	0	0	143	0	0	0	0	309	0	0	0	50	0	480	0	0	212	127	0	0	0	0	0	1814
16	HAMBURG-WANDSBEK	HH	197250	166368	1275	859	165093	165509	72024	69293	70676	64259	0	0	8420	16663	12531	14129	0	0	0	0	0	0	0	0	0	0	0	339	0	0	0	44	0	622	0	0	297	160	0	0	0	0	0	1145
17	HAMBURG-BERGEDORF	HH	187480	152840	1237	1010	151603	151830	71614	68484	61930	58187	0	0	6104	12181	10108	11658	0	0	0	0	0	0	143	0	0	0	0	308	0	0	0	37	939	880	0	0	0	95	0	0	0	0	0	765
18	HAMBURG-HARBURG	HH	145168	120097	1081	812	119016	119285	60279	56617	47971	44349	0	0	4156	8658	5930	8616	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	37	0	651	0	0	260	130	0	0	0	0	0	420
902	HAMBURG	HH	1258320	1044370	8199	6259	1036171	1038111	458054	427872	423372	388517	0	0	49812	99746	93096	114508	0	0	0	0	0	0	286	0	0	0	0	1947	0	0	0	335	1575	4262	0	0	1434	924	0	0	0	0	0	8542
																																														
19	AURICH – EMDEN	NI	170010	143328	1984	1578	141344	141750	82973	80730	43758	40546	0	0	3977	9116	9590	10549	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	24	0	436	0	164	224	93	0	0	0	0	0	822
20	UNTEREMS	NI	190307	160570	1977	1584	158593	158986	63055	63268	81387	74823	0	0	4717	10729	8220	9166	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	39	519	520	0	212	0	113	0	0	0	0	0	695
