Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	CSU	CSU	SPD	SPD	FDP	FDP	GRÜNE	GRÜNE	PDS	PDS	DSU	DSU	B90/Gr	B90/Gr	BP	BP	DDD	DDD	BSA	BSA	LIGA	LIGA	CM	CM	ÖKO-Union	ÖKO-Union	DIE GRAUEN	DIE GRAUEN	Mündige	Mündige	REP	REP	Frauen	Frauen	KPD	KPD	NPD	NPD	ÖDP	ÖDP	Patrioten	Patrioten	SpAD	SpAD	VAA	VAA	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																																										
275	Brandenburg – Rathenow – Belzig	BB	168673	125727	2088	1709	123639	124018	43080	43669	0	0	47594	45012	11826	14069	0	0	11114	10594	926	474	9099	7175	0	0	0	0	0	0	0	112	0	0	0	0	0	923	0	35	0	1645	0	0	0	0	0	146	0	164	0	0	0	0	0	0	0	0
276	Potsdam	BB	181489	139387	1855	1471	137532	137916	36866	37642	0	0	46824	46157	14336	14618	0	0	23255	22033	0	292	15651	13366	0	0	0	0	0	0	0	116	0	0	0	0	0	1316	0	66	0	1821	0	0	0	0	600	266	0	223	0	0	0	0	0	0	0	0
277	Fürstenwalde – Strausberg – Seelow	BB	172967	127842	2354	1786	125488	126056	42727	42609	0	0	42102	41256	10593	11163	0	0	18471	17516	0	324	10738	8743	0	0	0	0	0	0	0	106	0	0	0	0	0	1144	0	52	0	2552	0	0	0	0	857	336	0	255	0	0	0	0	0	0	0	0
278	Luckenwalde – Zossen – Jüterbog – Königs Wusterhausen	BB	181373	138823	2115	1747	136708	137076	45517	44581	0	0	53122	49983	11698	14191	0	0	14518	14164	954	483	10899	9371	0	0	0	0	0	0	0	133	0	0	0	0	0	1331	0	42	0	2287	0	0	0	0	0	254	0	256	0	0	0	0	0	0	0	0
279	Frankfurt/Oder – Eisenhüttenstadt – Beeskow	BB	142638	102489	2176	1552	100313	100937	34688	34709	0	0	30730	30904	7953	8810	0	0	15345	14294	0	310	10540	7794	0	0	0	0	0	0	0	126	0	0	0	0	0	985	0	30	0	2487	0	0	0	0	701	303	0	185	0	0	0	0	0	0	0	356
280	Cottbus – Guben – Forst	BB	183291	129969	2741	1850	127228	128119	51181	49605	0	0	39600	36067	13322	12201	0	0	20669	17062	1577	755	0	8840	0	0	0	0	0	0	0	175	0	0	0	0	0	1010	0	37	0	1721	0	0	0	0	879	374	0	272	0	0	0	0	0	0	0	0
281	Senftenberg – Calau – Spremberg	BB	156838	114460	2249	1899	112211	112561	50779	50051	0	0	33274	32722	7436	9489	0	0	10388	10122	1314	785	8402	6100	0	0	0	0	0	0	0	174	0	0	0	0	0	814	0	46	0	1706	0	0	0	0	618	346	0	206	0	0	0	0	0	0	0	0
282	Bad Liebenwerda – Finsterwalde – Herzberg – Lübben – Luckau	BB	155772	120686	2535	1977	118151	118709	51972	51625	0	0	35847	35981	11434	12655	0	0	8437	8323	1371	725	8503	6214	0	0	0	0	0	0	0	194	0	0	0	0	0	694	0	48	0	1681	0	0	0	0	587	331	0	238	0	0	0	0	0	0	0	0
913	Brandenburg	BB	1956684	1444148	26188	20708	1417960	1423440	520294	516617	0	0	485180	468294	124857	138586	0	0	166998	157022	9219	6012	106814	94386	0	0	0	0	0	0	0	1598	0	0	0	0	0	11340	0	492	0	23504	0	0	0	0	4242	3089	0	2500	0	0	0	0	0	0	0	356
																																																										
