Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	CDU	CDU	SPD	SPD	FDP	FDP	CSU	CSU	GRÜNE	GRÜNE	PDS	PDS	REP	REP	APD	APD	BP	BP	BüSo	BüSo	BSA	BSA	LIGA	LIGA	CM	CM	ZENTRUM	ZENTRUM	GRAUE	GRAUE	NATURGESETZ	NATURGESETZ	MLPD	MLPD	Tierschutz	Tierschutz	ödp	ödp	PBC	PBC	PASS	PASS	STATT Partei	STATT Partei	BGD	DKP	DSU	DVP	DEMOKRATEN	FBU	FSU	KPD	LD	UAP	Einzelbewerber
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen	Erststimmen
266	Rostock-Land - Ribnitz-Damgarten - Teterow - Malchin	MV	124126	89974	2721	2349	87253	87625	40302	37970	25492	23467	2784	3671	0	0	0	2739	17986	18001	0	980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	689	402	0	271	0	39	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
267	Stralsund - Rügen - Grimmen	MV	154766	108031	2866	2727	105165	105304	51114	48009	25622	23872	2132	2963	0	0	0	3271	24924	24848	1373	1433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	304	0	43	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
268	Greifswald - Wolgast - Demmin	MV	137843	99104	2255	2392	96849	96712	47429	46069	21346	20154	2336	3278	0	0	2635	2883	21035	21994	1192	1338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876	627	0	238	0	24	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
269	Neubrandenburg - Altentreptow - Waren - Röbel	MV	148598	111506	2462	2275	109044	109231	46974	42982	29232	29648	2266	3179	0	0	0	3926	28589	27137	1179	1339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	804	513	0	327	0	38	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
270	Neustrelitz - Strasburg - Pasewalk - Ueckermünde - Anklam	MV	142140	103074	3093	2631	99981	100443	45924	43664	27095	25836	2823	3597	0	0	0	2856	22405	21827	1734	1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	0	323	0	32	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
912	Mecklenburg-Vorpommern	MV	1379175	1004208	23945	21960	980263	982248	394665	378274	293742	283029	25585	33436	0	0	12492	35213	239040	231835	8777	11577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4289	4669	1134	2832	0	322	0	0	539	1061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																																															
271	Neuruppin - Kyritz - Wittstock - Pritzwalk - Perleberg	BB	165549	117216	1583	1192	115633	116024	34721	35018	57966	56398	3113	3398	0	0	3686	2858	16147	16512	0	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	221	0	15	0	0	0	111	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0
272	Prenzlau - Angermünde - Schwedt - Templin - Gransee	BB	153231	103310	1129	1009	102181	102301	28314	29071	49871	48010	2026	2121	0	0	3112	2474	18858	18939	0	1060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	165	0	21	0	0	0	64	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0
273	Oranienburg - Nauen	BB	153322	110920	1182	891	109738	110029	29097	28462	53508	52415	2074	2782	0	0	4392	3419	20667	20455	0	1297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	508	0	366	0	40	0	0	0	128	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0
274	Eberswalde - Bernau - Bad Freienwalde	BB	140349	95452	864	927	94588	94525	23958	24361	42181	43642	2028	2276	0	0	2722	2635	22505	19689	1194	1129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	0	193	0	33	0	0	0	61	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0
275	Brandenburg - Rathenow - Belzig	BB	166370	115551	1552	1156	113999	114395	30528	30550	57072	55890	3090	3407	0	0	3859	3172	19450	19325	0	954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	533	0	325	0	29	0	0	0	85	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0
276	Potsdam	BB	181118	139197	1392	932	137805	138265	27545	28522	57852	61381	0	3444	0	0	6050	5508	45231	36929	0	1093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	539	1127	556	0	23	0	0	0	135	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0
277	Fürstenwalde - Strausberg - Seelow	BB	171476	123800	1667	1102	122133	122698	31551	31967	55312	55158	2706	2844	0	0	4402	3525	28162	26475	0	1662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	468	0	320	0	42	0	0	0	105	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0
278	Luckenwalde - Zossen - Jüterbog - Königs Wusterhausen	BB	179950	133432	1413	1103	132019	132329	32773	32925	67022	63905	2260	3302	0	0	4445	3786	24671	25307	0	1626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	558	0	348	0	33	0	0	848	403	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0
279	Frankfurt/Oder - Eisenhüttenstadt - Beeskow	BB	139934	98703	1090	851	97613	97852	25946	25507	41367	43031	1678	1980	0	0	3429	2746	23790	21999	0	1413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1403	539	0	296	0	59	0	0	0	113	0	0	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0
280	Cottbus - Guben - Forst	BB	179276	128007	1514	1111	126493	126896	38796	39801	52494	50963	5017	4021	0	0	4193	3570	24632	26150	0	1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1361	636	0	292	0	48	0	0	0	76	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0
281	Senftenberg - Calau - Spremberg	BB	152193	105856	1555	1465	104301	104391	39649	38868	41110	40281	2532	2714	0	0	3299	2701	17711	17655	0	1302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	289	0	25	0	0	0	85	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0
282	Bad Liebenwerda - Finsterwalde - Herzberg - Lübben - Luckau	BB	152195	112023	1818	1408	110205	110615	42165	40331	49048	46288	3996	3665	0	0	0	3199	14996	14804	0	1331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	374	0	31	0	0	0	126	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	0	0
913	Brandenburg	BB	1934963	1383467	16759	13147	1366708	1370320	385043	385383	624803	617362	30520	35954	0	0	43589	39593	276820	264239	1194	15220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2764	5287	1127	3745	0	399	0	0	848	1492	0	0	0	0	0	1646	0	0	0	0	0	0	0	0	0	0	0
																																																															
283	Altmark	ST	181917	129511	1434	1447	128077	128064	48439	47860	49427	46647	2817	3841	0	0	4034	4401	21634	22736	1726	1414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	33	0	0	0	113	0	0	0	584	0	0	0	0	0	0	0	0	0	0	0	0	0
284	Elbe-Havel-Gebiet und Haldensleben - Wolmirstedt	ST	167413	118001	1576	1402	116425	116599	47614	46252	42330	42071	2616	3573	0	0	4448	4006	18177	18527	1240	1129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	0	0	21	0	0	0	99	0	0	0	543	0	0	0	0	0	0	0	0	0	0	0	0	0
285	Harz und Vorharzgebiet	ST	172384	125350	1346	1245	124004	124105	50705	49383	44976	44110	2661	3797	0	0	5412	4314	18849	19943	1401	1222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	551	0	0	0	29	0	0	0	111	0	0	0	645	0	0	0	0	0	0	0	0	0	0	0	0	0
286	Magdeburg	ST	165583	118160	1088	947	117072	117213	38150	36648	42435	42428	1828	3029	0	0	5433	5307	26689	27421	1119	1055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1134	731	0	0	0	25	0	0	0	78	0	0	0	491	0	0	0	0	0	0	0	0	0	0	0	0	284
287	Magdeburg - Schönebeck - Wanzleben - Staßfurt	ST	186435	130571	1615	1552	128956	129019	52310	49624	44602	44477	2609	3865	0	0	4494	4199	22872	24322	1176	1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	893	574	0	0	0	29	0	0	0	97	0	0	0	698	0	0	0	0	0	0	0	0	0	0	0	0	0
288	Wittenberg - Gräfenhainichen - Jessen - Roßlau - Zerbst	ST	173863	123665	1588	1432	122077	122233	52178	49954	39422	40735	4578	5267	0	0	4560	4582	19677	18949	1501	1407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	425	0	0	0	38	0	0	0	152	0	0	0	724	0	0	0	0	161	0	0	0	0	0	0	0	0
289	Dessau - Bitterfeld	ST	163521	113487	1429	1231	112058	112256	44116	44232	37239	36767	6005	5200	0	0	5310	4453	17889	19086	1338	1214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	491	0	0	0	22	0	0	0	110	0	0	0	681	0	0	0	0	161	0	0	0	0	0	0	0	0
290	Bernburg - Aschersleben - Quedlinburg	ST	166423	116212	1603	1411	114609	114801	45449	45517	42687	39202	3913	4640	0	0	4011	3819	18549	19311	0	1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	405	0	0	0	28	0	0	0	100	0	0	0	775	0	0	0	0	0	0	0	0	0	0	0	0	0
291	Halle-Altstadt	ST	158477	110252	1086	929	109166	109323	35919	36582	36111	33103	7275	7003	0	0	4986	5485	23997	24753	878	760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	861	0	0	0	26	0	0	0	108	0	0	0	642	0	0	0	0	0	0	0	0	0	0	0	0	0
292	Halle-Neustadt - Saalkreis - Köthen	ST	175333	122546	1869	1676	120677	120870	48780	46144	35382	36717	4793	6783	0	0	4446	4045	26045	24579	1231	1150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	585	0	0	0	40	0	0	0	114	0	0	0	713	0	0	0	0	0	0	0	0	0	0	0	0	0
293	Merseburg - Querfurt - Weißenfels	ST	158671	108793	1854	1578	106939	107215	45700	44728	33768	33511	5568	5316	0	0	3571	3418	17963	17982	0	981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	493	0	0	0	37	0	0	0	130	0	0	0	619	0	0	0	0	369	0	0	0	0	0	0	0	0
