Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	FDP	FDP	DIE LINKE	DIE LINKE	GRÜNE	GRÜNE	CSU	CSU	NPD	NPD	REP	REP	FAMILIE	FAMILIE	Die Tierschutzpartei	Die Tierschutzpartei	PBC	PBC	MLPD	MLPD	BüSo	BüSo	BP	BP	PSG	PSG	Volksabstimmung	Volksabstimmung	ZENTRUM	ZENTRUM	ADM	ADM	CM	CM	DKP	DKP	DVU	DVU	DIE VIOLETTEN	DIE VIOLETTEN	FWD	FWD	ödp	ödp	PIRATEN	PIRATEN	RRP	RRP	RENTNER	RENTNER	Freie Union	Freie Union	Übrige	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen
																																																																		
250	Schweinfurt	9	200116	146050	3121	1867	142929	144183	27794	24747			13713	18742	14803	13317	14598	13182	66253	62265	3029	1829		1790		1090		771		277		62		40	2213	784										157				57		242				990		3076		765					526	
251	Würzburg	9	225807	170031	2185	1569	167846	168462	39055	31440			17030	23203	9334	10582	21914	24341	73800	65294	2312	1287		2462		1011		1103		250		36		59		428										147				39		260				1422	3659	4262		836					742	
252	Augsburg-Stadt	9	206196	135957	1789	1748	134168	134209	26268	24981			14638	17645	9318	10552	19708	16898	56644	51728	2038	1602		899		665		965		136	230	113	177	89	1022	674										115				88		307			1621	1073		4166	1658	1513					846	
253	Augsburg-Land	9	240672	177024	2484	1754	174540	175270	27427	25356			20137	27522	8264	9425	15031	16430	92508	80335	2834	2168		1777		1187		1208		200		46	444	122	2552	1609										191				110		405			2804	1790		3399	2539	1990						
254	Donau-Ries	9	189097	133619	2191	1497	131428	132122	20901	18290			15337	19314	8025	7605	9962	10139	69102	64647	2549	1919		1725		1077		703		172		30		41	2385	1432										182				63	888	495			1982	1367		2170		751					297	
255	Neu-Ulm	9	235775	164678	2832	1790	161846	162888	24977	23937			18406	26391	10245	10341	17398	14310	82046	72060	4483	3499		1013		1283		1040		344		36		96		1005										250				131		331			4291	2387		3496		938						
256	Oberallgäu	9	221708	158857	2008	1618	156849	157239	19107	20392			17464	26018	7842	8735	20093	17753	83181	70559	1314	1202	2092	1800		1200		1039		242		41		53	2606	1507										357				71		353			3150	2299		2635		983						
257	Ostallgäu	9	242341	170224	2992	2194	167232	168030	22859	20544			21115	28362	8822	9369	15030	15668	85429	77911	2814	2262		1010		1196		1018		390		34		85	5367	2849										397				119		334			3671	2728		2951		803			737		1388	
909	Bayern	99	9382583	6720532	94735	68496	6625797	6652036	1331177	1120018			700960	976379	386476	429371	675888	719265	3191000	2830238	111662	87591	13564	54588	3921	44421		43215	921	9262	540	1769	5466	3305	32324	48311										6826				3491	2064	13872			83568	75866	24102	135790	22179	48458			5206		34779	
																																																																		
