Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	ADF	ADF	BP	BP	EP	EP	GPD	FSU	FSU	ZENTRUM	UAP	UAP	DV	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen
																																
73	Düsseldorf – Mettmann II	NW	128469	112860	1889	1678	110971	111182	53152	52493	48871	45834	0	0	4804	7552	2991	3722	980	1082	0	0	0	159	53	173	164	82	0	41	0	0
74	Düsseldorf I	NW	146995	125914	1480	1480	124434	124434	54030	53835	56514	53721	0	0	9433	10751	3648	4616	809	914	0	0	0	289	45	0	54	171	0	38	0	0
75	Düsseldorf II	NW	152733	127648	2048	1919	125600	125729	67216	64738	47755	46656	0	0	5212	7708	3685	4311	1512	1681	0	0	220	257	39	0	57	222	0	60	0	0
76	Düsseldorf III	NW	164373	137944	2320	2012	135624	135932	66824	63815	57377	55818	0	0	6219	9410	4041	4984	1163	1241	0	0	0	260	58	0	71	201	0	74	0	0
77	Neuß – Grevenbroich I	NW	154198	134866	2314	2199	132552	132667	52564	51881	69327	67322	0	0	6118	7597	3898	4479	645	542	0	0	0	166	52	0	36	520	0	72	0	0
78	Rheydt – Grevenbroich II	NW	128134	108941	2620	2296	106321	106645	43842	43469	54337	53391	0	0	4737	5486	2592	3061	813	711	0	0	0	122	61	0	39	228	0	77	0	0
79	Mönchengladbach	NW	131814	110781	4351	1674	106430	109107	40404	40580	59110	59494	0	0	3747	4857	2422	3100	747	555	0	0	0	168	35	0	27	222	0	69	0	0
80	Krefeld	NW	155523	132501	3263	1642	129238	130859	60375	59140	59625	58094	0	0	5262	8144	3255	4293	721	745	0	0	0	210	45	0	42	101	0	45	0	0
81	Kempen – Krefeld	NW	152884	135352	2763	2526	132589	132826	50071	49327	73031	71567	0	0	5568	6830	3376	4067	543	498	0	0	0	141	62	0	39	240	0	55	0	0
82	Moers	NW	188164	162975	3363	2175	159612	160800	94620	92318	53694	53945	0	0	5436	7412	4641	5560	1060	1079	0	0	0	120	58	0	79	75	161	154	0	0
83	Kleve	NW	153126	138142	3728	2874	134414	135268	41632	40722	85363	85404	0	0	4399	5258	2638	3120	319	260	0	0	0	90	82	0	22	246	63	64	0	0
84	Dinslaken	NW	159786	140908	2334	2317	138574	138591	70302	69089	57383	56212	0	0	7244	8508	2968	3826	677	601	0	0	0	100	50	0	31	120	0	54	0	0
85	Oberhausen	NW	167996	143884	4186	1904	139698	141980	75461	76744	55873	54970	0	0	4694	5382	2787	3438	746	861	0	0	0	114	41	137	93	261	0	76	0	0
86	Mülheim	NW	135212	116667	2256	1306	114411	115361	65769	64909	39475	38513	0	0	5873	7765	2118	2756	978	983	0	0	0	124	26	198	159	84	0	42	0	0
87	Essen I	NW	167349	140860	4712	1239	136148	139621	78548	79482	49537	50042	0	0	3528	5110	2574	2967	1281	1319	0	0	333	184	46	176	175	144	171	152	0	0
88	Essen II	NW	161098	134170	5970	1446	128200	132724	79822	81305	40512	42068	0	0	3015	4351	2515	2907	1691	1516	0	0	135	127	62	144	120	149	131	119	0	235
89	Essen III	NW	169383	147901	4136	1123	143765	146778	71525	70918	61447	60446	0	0	6658	10365	2610	3351	864	954	0	0	356	255	35	189	186	158	116	110	0	0
90	Duisburg I	NW	149753	124780	5029	1347	119751	123433	73362	74180	39185	40138	0	0	3241	4360	2523	3029	1293	1294	0	0	0	79	85	0	62	82	147	124	0	0
91	Duisburg II	NW	166355	141903	3894	1345	138009	140558	77265	75637	51374	51890	0	0	4776	7180	3079	3905	1357	1364	0	0	0	139	124	0	81	93	158	145	0	0
92	Ahaus – Bocholt	NW	154967	141214	2985	2415	138229	138799	40314	38339	92057	92384	0	0	3218	4021	2077	2630	563	448	0	0	0	72	27	0	17	772	0	89	0	0
93	Tecklenburg	NW	137897	123821	3020	1997	120801	121824	43787	44097	68858	66539	0	0	5057	6276	2798	3349	301	221	0	0	0	86	44	0	43	1125	0	44	0	0
94	Beckum – Warendorf	NW	148813	135127	4079	2148	131048	132979	44874	47100	79299	76841	0	0	3815	4708	2224	2925	836	719	0	0	0	96	55	0	25	458	0	52	0	0
