Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	AUD	AUD	AVP	AVP	C.B.V.	C.B.V.	DKP	DKP	EAP	EAP	5%-BLOCK	5%-BLOCK	GIM	GIM	KPD	KPD	K B W	K B W	NPD	NPD	RFP	UAP	UAP	VL	VL	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen
																																										
219	REGENSBURG	BY	185382	164676	2611	1376	162065	163300	48906	48546	0	0	104608	105842	6616	7255	418	176	0	31	0	140	559	341	0	26	0	53	0	0	0	103	0	0	958	787	0	0	0	0	0	0
220	SCHWANDORF	BY	179371	157879	3188	2045	154691	155834	44085	44358	0	0	102919	105000	2680	3724	0	52	0	23	3981	1657	379	247	0	25	0	53	0	0	0	83	0	0	647	612	0	0	0	0	0	0
221	WEIDEN	BY	158453	146047	1982	1461	144065	144586	49672	47862	0	0	89511	90691	3766	4869	0	40	0	24	0	86	279	185	0	22	0	58	0	0	0	61	0	0	837	688	0	0	0	0	0	0
222	BAMBERG	BY	179355	163313	1515	1243	161798	162070	44565	45148	0	0	110739	108515	5301	7078	0	66	0	43	0	96	439	260	0	18	0	62	0	0	0	99	0	0	754	685	0	0	0	0	0	0
223	BAYREUTH	BY	122181	109945	1506	721	108439	109224	41589	41581	0	0	59728	60726	5953	5872	0	50	0	22	0	51	371	205	0	18	0	37	0	0	0	38	0	0	798	624	0	0	0	0	0	0
224	COBURG	BY	154190	142222	1166	1009	141056	141213	65423	62746	0	0	69171	70473	5593	6982	0	45	0	18	0	36	220	162	0	13	0	39	0	0	0	80	0	0	649	619	0	0	0	0	0	0
225	HOF	BY	202720	183432	1703	1430	181729	182002	88528	87719	0	0	85186	84656	6386	8014	0	98	0	28	0	57	485	336	0	27	0	68	0	0	224	177	0	0	920	822	0	0	0	0	0	0
226	KULMBACH	BY	122171	111388	1940	1286	109448	110102	39216	38780	0	0	66598	66375	2696	3974	0	49	0	23	0	35	235	145	0	9	0	31	0	0	0	38	0	0	703	643	0	0	0	0	0	0
227	ANSBACH	BY	139179	124803	1713	1008	123090	123795	37607	36304	0	0	79264	78236	4832	8105	301	129	0	23	0	30	375	203	0	14	0	30	0	0	0	49	0	0	711	672	0	0	0	0	0	0
228	ERLANGEN	BY	218255	197560	2027	1407	195533	196153	78876	77386	0	0	97955	99128	16161	17570	568	261	0	50	0	68	750	460	0	24	184	114	0	0	0	97	0	0	1039	995	0	0	0	0	0	0
229	FUERTH	BY	207373	184847	1780	1362	183067	183485	75405	74243	0	0	95352	94028	9522	12867	411	213	0	36	0	43	812	442	0	30	0	75	0	0	0	132	0	0	1565	1376	0	0	0	0	0	0
230	NUERNBERG-NORD	BY	182358	160609	1351	764	159258	159845	73838	71601	0	0	73293	72438	9683	13626	473	222	0	23	0	65	987	776	0	20	0	84	0	0	0	127	0	0	984	863	0	0	0	0	0	0
231	NUERNBERG-SUED	BY	174811	154550	1358	780	153192	153770	79494	77611	0	0	62909	63041	8083	11017	363	219	0	24	0	41	1181	707	0	21	0	61	0	0	166	136	0	0	996	892	0	0	0	0	0	0
232	ROTH	BY	154381	139670	2261	1172	137409	138498	45346	46680	0	0	83398	82240	7160	8177	0	68	0	33	0	69	463	264	0	33	0	58	0	0	0	83	0	0	1042	793	0	0	0	0	0	0
233	ASCHAFFENBURG	BY	144452	131417	1555	1350	129862	130067	49039	47042	0	0	75252	75714	4780	6370	0	52	0	19	0	39	304	219	0	23	0	35	0	0	0	76	0	0	487	478	0	0	0	0	0	0
234	BAD KISSINGEN	BY	186393	171604	2074	1550	169530	170054	41720	41255	0	0	118649	119485	8155	8230	0	73	0	22	0	71	298	207	0	19	0	59	0	0	0	78	0	0	708	555	0	0	0	0	0	0
235	MAIN-SPESSART	BY	161562	149089	1871	1351	147218	147738	47279	46138	0	0	93499	93756	5462	6812	0	45	0	33	0	45	466	278	0	22	0	52	0	0	0	76	0	0	512	481	0	0	0	0	0	0
236	SCHWEINFURT	BY	170298	155121	1780	1196	153341	153925	50787	49899	0	0	94997	94427	5937	7964	0	86	0	24	0	61	391	203	0	27	0	77	0	0	0	85	0	0	1229	1072	0	0	0	0	0	0
237	WUERZBURG	BY	183130	166755	2140	1191	164615	165564	59756	58218	0	0	94470	95035	8932	10971	0	86	0	32	0	74	690	383	0	21	0	70	0	0	0	73	0	0	767	601	0	0	0	0	0	0
238	AUGSBURG-STADT	BY	176208	155600	1230	1026	154370	154574	64238	63357	0	0	78789	79417	9164	9861	242	175	0	90	0	112	432	339	0	27	190	132	0	0	387	250	0	0	928	814	0	0	0	0	0	0
239	AUGSBURG-LAND	BY	185707	168050	2192	1252	165858	166798	43512	43995	0	0	112882	112971	8186	8430	0	79	0	78	0	105	454	234	0	15	0	73	0	0	0	121	0	0	824	697	0	0	0	0	0	0
240	DONAU-RIES	BY	138279	124072	2028	1146	122044	122926	31152	32263	0	0	83039	84251	7089	5591	0	49	0	22	0	48	269	149	0	19	0	34	0	0	0	63	0	0	495	437	0	0	0	0	0	0
241	NEU-ULM	BY	165126	147662	2254	1193	145408	146469	46388	47028	0	0	89921	89152	7781	8999	0	94	0	31	0	84	416	215	0	26	0	40	0	0	0	78	0	0	902	722	0	0	0	0	0	0
242	OBERALLGAEU	BY	177278	157981	2385	1245	155596	156736	45543	45201	0	0	97219	98589	11646	11622	0	152	0	54	0	133	493	275	0	34	0	80	0	0	0	93	0	0	695	503	0	0	0	0	0	0
243	UNTERALLGAEU	BY	213334	191393	2398	1218	188995	190175	46551	45785	0	0	132042	132595	8488	9955	0	107	0	57	0	173	578	280	0	47	0	101	0	0	0	91	0	0	1336	984	0	0	0	0	0	0
909	BAYERN	BY	7547820	6764839	82213	51144	6682626	6713695	2249609	2201692	0	0	4008514	4027499	353354	419335	6571	5242	0	1777	4876	6720	21452	13511	446	1283	707	2940	104	0	2376	4611	0	0	34617	29085	0	0	0	0	0	0
																																										
244	SAARBRUECKEN I	SL	161434	145246	1612	1233	143634	144013	70100	69251	59323	59260	0	0	12215	13656	202	134	0	31	0	0	1092	1018	0	0	0	0	0	0	0	0	0	0	702	663	0	0	0	0	0	0
245	SAARBRUECKEN II	SL	163127	152063	1984	1429	150079	150634	71599	70477	69357	69233	0	0	7363	9209	0	68	0	42	0	0	967	857	0	0	0	0	0	0	0	0	0	0	793	748	0	0	0	0	0	0
246	SAARLOUIS	SL	159730	149487	2670	1468	146817	148019	63953	63543	73989	74262	0	0	7311	8843	221	144	0	36	0	0	694	609	0	0	0	0	0	0	0	0	0	0	649	582	0	0	0	0	0	0
247	SANKT WENDEL	SL	158206	149830	2061	1669	147769	148161	65596	65223	75177	74599	0	0	5729	7066	0	78	0	29	0	0	637	589	0	0	0	0	0	0	0	0	0	0	630	577	0	0	0	0	0	0
248	HOMBURG	SL	168825	157160	1505	1672	155655	155488	76420	75693	68092	67496	0	0	9265	10525	0	67	0	45	0	0	1109	981	0	0	0	0	0	0	0	0	0	0	769	681	0	0	0	0	0	0
910	SAARLAND	SL	811322	753786	9832	7471	743954	746315	347668	344187	345938	344850	0	0	41883	49299	423	491	0	183	0	0	4499	4054	0	0	0	0	0	0	0	0	0	0	3543	3251	0	0	0	0	0	0
																																										
999	BUNDESGEBIET OHNE BERLIN	BUND	42058015	38165753	470109	343253	37695644	37822500	16471321	16099019	14423157	14367302	4008514	4027499	2417683	2995085	19490	22202	2636	4723	4876	6720	170855	118581	3177	6811	985	2940	2037	4759	8822	22714	21414	20018	136028	122661	227	499	765	217	701	3706
